,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,4.01,0.25,-975,-0.55,-769,-0.43,-207,-0.12,133,0.07,843,0.48
1,2015-11-05,4.00,1.78,11700.0,3.74,3551,1.13,8186,2.61,-6189,-1.97,-5548,-1.77
2,2015-11-04,3.93,3.15,9922,6.55,7114,4.70,2808,1.85,-4683,-3.09,-5239,-3.46
3,2015-11-03,3.81,-1.04,-9905,-16.96,-7226,-12.37,-2679,-4.59,3038,5.20,6867,11.76
4,2015-11-02,3.85,-0.77,-3706,-5.66,454,0.69,-4159,-6.35,1477,2.26,2229,3.40
5,2015-10-30,3.88,-0.26,-3552,-6.39,-4055,-7.30,504,0.91,1589,2.86,1963,3.53
6,2015-10-29,3.89,-0.51,-1122,-1.86,2775,4.61,-3897,-6.47,-161,-0.27,1283,2.13
7,2015-10-28,3.91,-0.26,-513,-0.57,-380,-0.42,-133,-0.15,197,0.22,316,0.35
8,2015-10-27,3.92,-0.51,-1691,-2.37,546,0.77,-2237,-3.14,1628,2.28,63.51,0.09
9,2015-10-26,3.94,-0.25,-2892,-3.16,-4390,-4.79,1498,1.63,702,0.77,2191,2.39
10,2015-10-23,3.95,0.25,-2264,-2.22,-4225,-4.15,1962,1.92,1989,1.95,275,0.27
11,2015-10-22,3.94,-2.23,-6495,-5.66,-5822,-5.08,-673,-0.59,2233,1.95,4261,3.71
12,2015-10-21,4.03,3.07,33200.0,12.68,43000.0,16.42,-9799,-3.74,-15600.0,-5.98,-17500.0,-6.70
13,2015-10-20,3.91,0,-250,-0.36,47.42,0.07,-297,-0.43,-641,-0.93,891,1.29
14,2015-10-19,3.91,-0.26,332,0.35,993,1.06,-662,-0.71,1570,1.67,-1901,-2.03
15,2015-10-16,3.92,0.77,-6297,-5.73,-8086,-7.35,1789,1.63,3035,2.76,3262,2.97
16,2015-10-15,3.89,1.04,13100.0,14.93,14600.0,16.62,-1482,-1.69,-7295,-8.32,-5791,-6.61
17,2015-10-14,3.85,0.26,364,0.62,961,1.63,-598,-1.01,-1494,-2.53,1130,1.91
18,2015-10-13,3.84,-0.78,-1605,-2.64,1067,1.75,-2672,-4.39,799,1.31,806,1.32
19,2015-10-12,3.87,1.84,-173,-0.12,3660,2.58,-3832,-2.70,-955,-0.67,1128,0.79
20,2015-10-09,3.80,0.53,-2329,-4.27,-1906,-3.50,-423,-0.78,628,1.15,1701,3.12
21,2015-10-08,3.78,1.61,1251,2.18,1066,1.86,185,0.32,-1464,-2.55,212,0.37
22,2015-09-30,3.72,0,127,0.41,115,0.37,11.30,0.04,-591,-1.91,465,1.50
23,2015-09-29,3.72,-2.11,-5260,-12.11,-4863,-11.19,-397,-0.91,1585,3.65,3675,8.46
24,2015-09-28,3.80,-0.78,-2106,-6.22,-1765,-5.22,-341,-1.01,804,2.38,1302,3.85
25,2015-09-25,3.83,1.06,6028,8.33,10400.0,14.42,-4406,-6.09,-3449,-4.77,-2579,-3.56
26,2015-09-24,3.79,-0.26,-7104,-14.57,-5594,-11.47,-1510,-3.10,2564,5.26,4539,9.31
27,2015-09-23,3.80,-1.81,-12300.0,-18.76,-5298,-8.07,-7015,-10.69,7244,11.04,5069,7.72
28,2015-09-22,3.87,0.52,899,1.52,4024,6.79,-3125,-5.27,-498,-0.84,-401,-0.68
29,2015-09-21,3.85,-0.26,-13300.0,-20.17,-14700.0,-22.20,1341,2.03,5355,8.11,7967,12.06
