,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,11.65,0.95,2170,5.33,1740,4.28,431,1.06,-1254,-3.08,-916,-2.25
1,2015-11-05,11.54,0.17,-3803,-7.18,-2659,-5.02,-1144,-2.16,991,1.87,2812,5.31
2,2015-11-04,11.52,5.11,3447,8.47,757,1.86,2690,6.61,-863,-2.12,-2584,-6.35
3,2015-11-03,10.96,1.67,1396,6.14,1210,5.32,187,0.82,-640,-2.82,-756,-3.33
4,2015-11-02,10.78,-3.58,-2860,-12.42,-758,-3.29,-2103,-9.13,357,1.55,2503,10.87
5,2015-10-30,11.18,-1.67,-1867,-5.51,-283,-0.83,-1584,-4.67,-180,-0.53,2047,6.04
6,2015-10-29,11.37,0.62,-1068,-3.03,-448,-1.27,-619,-1.76,-57.08,-0.16,1125,3.20
7,2015-10-28,11.30,-1.57,-1791,-3.95,253,0.56,-2044,-4.51,-641,-1.42,2432,5.37
8,2015-10-27,11.48,-0.86,-3023,-7.04,-1919,-4.47,-1104,-2.57,517,1.20,2506,5.84
9,2015-10-26,11.58,-1.36,-10600.0,-14.35,-3999,-5.44,-6560,-8.92,2269,3.08,8290,11.27
10,2015-10-23,11.74,8.20,4181,5.62,2884,3.88,1297,1.74,-2152,-2.89,-2029,-2.73
11,2015-10-22,10.85,8.39,4418,9.96,2142,4.83,2276,5.13,-1978,-4.46,-2440,-5.50
12,2015-10-21,10.01,-8.92,-3400,-5.95,-598,-1.05,-2802,-4.91,-540,-0.95,3940,6.90
13,2015-10-20,10.99,-0.90,-2782,-6.39,-1430,-3.28,-1353,-3.10,333,0.76,2450,5.62
14,2015-10-19,11.09,3.07,-11000.0,-11.42,-11400.0,-11.80,366,0.38,3611,3.75,7379,7.67
15,2015-10-16,10.76,10.02,12900.0,25.62,15200.0,30.14,-2274,-4.52,-5660,-11.25,-7236,-14.38
16,2015-10-15,9.78,2.95,308,1.14,1086,4.02,-778,-2.88,-464,-1.72,156,0.58
17,2015-10-14,9.50,-3.36,-2150,-7.74,-489,-1.76,-1661,-5.98,563,2.03,1587,5.71
18,2015-10-13,9.83,-0.51,-1764,-4.65,-1478,-3.90,-287,-0.76,510,1.35,1254,3.31
19,2015-10-12,9.88,1.96,-25700.0,-30.58,-30100.0,-35.74,4348,5.17,13200.0,15.74,12500.0,14.84
20,2015-10-09,9.69,2.87,708,2.29,-851,-2.75,1559,5.04,616,1.99,-1324,-4.28
21,2015-10-08,9.42,4.90,1984,8.44,705,3.00,1279,5.44,-242,-1.03,-1742,-7.42
22,2015-09-30,8.98,0.56,26.79,0.16,-12.24,-0.07,39.03,0.23,-35.33,-0.21,8.54,0.05
23,2015-09-29,8.93,-4.49,-1374,-5.08,172,0.63,-1546,-5.71,29.49,0.11,1344,4.97
24,2015-09-28,9.35,3.31,-4846,-9.80,-1583,-3.20,-3263,-6.60,1317,2.66,3529,7.14
25,2015-09-25,9.05,9.96,9833,21.56,7483,16.40,2350,5.15,-4405,-9.66,-5428,-11.90
26,2015-09-24,8.23,1.23,-787,-9.12,22.56,0.26,-809,-9.38,489,5.67,297,3.45
27,2015-09-23,8.13,-3.56,-795,-8.36,-161,-1.69,-634,-6.67,-48.02,-0.51,843,8.87
28,2015-09-22,8.43,0.96,-276,-2.29,337,2.80,-613,-5.09,371,3.08,-95.34,-0.79
29,2015-09-21,8.35,2.96,921,8.56,385,3.58,536,4.98,-359,-3.34,-562,-5.22
