,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,11.05,7.91,11900.0,17.89,8150,12.26,3747,5.63,-5560,-8.36,-6336,-9.53
1,2015-11-05,10.24,-0.49,-4198,-6.77,-3576,-5.77,-621,-1.00,1441,2.32,2757,4.45
2,2015-11-04,10.29,8.32,11700.0,19.98,10200.0,17.53,1435,2.46,-4170,-7.14,-7496,-12.84
3,2015-11-03,9.50,-2.26,-1609,-5.14,-496,-1.58,-1113,-3.56,-6.84,-0.02,1616,5.17
4,2015-11-02,9.72,-2.61,-1110,-2.54,794,1.82,-1904,-4.36,38.38,0.09,1072,2.45
5,2015-10-30,9.98,4.07,-4327,-5.07,1388,1.63,-5715,-6.70,208,0.24,4119,4.83
6,2015-10-29,9.59,4.35,8240,14.22,5183,8.95,3057,5.28,-4948,-8.54,-3293,-5.68
7,2015-10-28,9.19,0.66,4158,7.02,2608,4.40,1550,2.62,-573,-0.97,-3586,-6.05
8,2015-10-27,9.13,1.44,448,0.83,-1035,-1.91,1482,2.74,-1088,-2.01,641,1.19
9,2015-10-26,9.00,0.22,-725,-1.26,210,0.37,-935,-1.63,-531,-0.93,1256,2.19
10,2015-10-23,8.98,7.29,7567,13.33,8333,14.68,-766,-1.35,-3318,-5.85,-4249,-7.49
11,2015-10-22,8.37,3.85,-1538,-3.58,22.22,0.05,-1561,-3.63,698,1.62,840,1.95
12,2015-10-21,8.06,-9.94,-10800.0,-21.32,-5699,-11.21,-5137,-10.11,3325,6.54,7511,14.78
13,2015-10-20,8.95,2.99,1497,3.03,995,2.01,502,1.02,42.01,0.09,-1539,-3.11
14,2015-10-19,8.69,-3.01,-12800.0,-20.58,-9037,-14.54,-3760,-6.05,5129,8.25,7668,12.34
15,2015-10-16,8.96,-0.44,-8313,-12.60,-5985,-9.07,-2328,-3.53,2239,3.39,6074,9.20
16,2015-10-15,9.00,6.51,-1880,-2.67,-749,-1.06,-1131,-1.60,-895,-1.27,2775,3.93
17,2015-10-14,8.45,4.45,2297,3.61,2024,3.18,273,0.43,-1140,-1.79,-1158,-1.82
18,2015-10-13,8.09,3.45,290,0.52,1938,3.48,-1648,-2.96,-544,-0.98,254,0.46
19,2015-10-12,7.82,9.99,15300.0,24.46,16200.0,25.85,-867,-1.38,-6581,-10.50,-8752,-13.96
20,2015-10-09,7.11,3.04,3744,15.14,2098,8.48,1646,6.65,-1018,-4.12,-2726,-11.02
21,2015-10-08,6.90,4.70,1296,7.28,142,0.80,1154,6.48,169,0.95,-1465,-8.22
22,2015-09-30,6.59,1.38,363,4.35,143,1.72,220,2.64,-27.72,-0.33,-335,-4.02
23,2015-09-29,6.50,-4.27,-2634,-20.19,-2169,-16.63,-465,-3.56,573,4.39,2061,15.80
24,2015-09-28,6.79,0.74,-1525,-11.00,77.08,0.56,-1602,-11.56,4.80,0.03,1521,10.97
25,2015-09-25,6.74,-4.53,-3489,-17.19,-966,-4.76,-2522,-12.43,817,4.03,2672,13.17
26,2015-09-24,7.06,1.88,239,1.30,245,1.33,-5.25,-0.03,-109,-0.59,-131,-0.71
27,2015-09-23,6.93,-3.48,-3541,-12.33,-2856,-9.94,-685,-2.38,1054,3.67,2488,8.66
28,2015-09-22,7.18,2.57,-3485,-7.94,-3630,-8.27,145,0.33,1087,2.48,2398,5.46
29,2015-09-21,7.00,10.06,8955,21.69,10300.0,24.89,-1321,-3.20,-3979,-9.64,-4976,-12.05
