,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,11.68,2.19,467,1.69,535,1.94,-68.02,-0.25,-809,-2.93,342,1.24
1,2015-11-05,11.43,-0.17,-1344,-5.43,-763,-3.09,-580,-2.35,1293,5.23,50.39,0.20
2,2015-11-04,11.45,5.92,3321,15.59,433,2.03,2887,13.55,-1753,-8.23,-1568,-7.36
3,2015-11-03,10.81,1.69,312,2.38,-370,-2.82,682,5.19,-606,-4.61,294,2.24
4,2015-11-02,10.63,-3.89,-1389,-12.04,-838,-7.27,-551,-4.78,676,5.86,713,6.18
5,2015-10-30,11.06,-1.86,-416,-2.59,-125,-0.78,-290,-1.81,-259,-1.61,675,4.20
6,2015-10-29,11.27,-0.97,-101,-0.46,-371,-1.69,271,1.23,-2507,-11.42,2608,11.88
7,2015-10-28,11.38,-0.96,1429,5.10,-138,-0.49,1567,5.59,-1806,-6.44,377,1.35
8,2015-10-27,11.49,2.59,476,1.72,-12.24,-0.04,488,1.76,-1655,-5.98,1180,4.26
9,2015-10-26,11.20,3.90,1534,4.80,700,2.19,834,2.61,-1166,-3.65,-368,-1.15
10,2015-10-23,10.78,6.52,881,3.69,-679,-2.84,1560,6.53,318,1.33,-1199,-5.02
11,2015-10-22,10.12,3.16,-1144,-9.51,-109,-0.91,-1035,-8.61,900,7.48,244,2.03
12,2015-10-21,9.81,-5.76,-209,-0.74,279,0.99,-488,-1.74,-252,-0.90,461,1.64
13,2015-10-20,10.41,1.56,-126,-1.19,-150,-1.41,23.35,0.22,191,1.80,-65.26,-0.61
14,2015-10-19,10.25,-1.73,-1665,-16.54,-192,-1.91,-1473,-14.63,478,4.75,1187,11.79
15,2015-10-16,10.43,0.19,-2341,-16.16,-783,-5.40,-1558,-10.75,1002,6.91,1339,9.24
16,2015-10-15,10.41,4.31,2647,20.95,1653,13.08,994,7.86,-1467,-11.61,-1180,-9.34
17,2015-10-14,9.98,-1.67,-37.73,-0.46,-207,-2.53,169,2.07,-232,-2.83,269,3.30
18,2015-10-13,10.15,-0.78,-1301,-11.60,-44.04,-0.39,-1257,-11.21,269,2.40,1032,9.20
19,2015-10-12,10.23,5.90,2411,16.92,292,2.05,2118,14.87,-875,-6.14,-1536,-10.78
20,2015-10-09,9.66,1.47,110,1.15,0,0,110,1.15,604,6.35,-714,-7.51
21,2015-10-08,9.52,6.73,2729,18.36,639,4.30,2090,14.06,-679,-4.57,-2050,-13.79
22,2015-09-30,8.92,0.45,53.22,1.56,0,0,53.22,1.56,81.38,2.38,-135,-3.93
23,2015-09-29,8.88,-2.74,-714,-16.53,0,0,-714,-16.53,195,4.50,520,12.03
24,2015-09-28,9.13,2.01,18.02,0.37,110,2.28,-91.87,-1.91,254,5.28,-272,-5.65
25,2015-09-25,8.95,-2.72,251,2.99,0,0,251,2.99,-286,-3.40,34.22,0.41
26,2015-09-24,9.20,0.11,-238,-2.42,-123,-1.24,-116,-1.17,208,2.11,30.68,0.31
27,2015-09-23,9.19,1.32,-788,-5.01,-384,-2.44,-404,-2.57,109,0.69,679,4.32
28,2015-09-22,9.07,0.67,-359,-3.40,157,1.48,-516,-4.88,41.22,0.39,318,3.01
29,2015-09-21,9.01,3.09,-59.92,-0.57,-62.31,-0.60,2.39,0.02,255,2.44,-195,-1.87
