,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,12.79,3.48,9048,7.36,7883,6.41,1165,0.95,-3127,-2.54,-5921,-4.81
1,2015-11-05,12.36,-2.06,-12200.0,-9.69,-4616,-3.67,-7565,-6.02,4809,3.82,7372,5.86
2,2015-11-04,12.62,5.96,13100.0,11.02,8642,7.26,4465,3.75,-5555,-4.67,-7552,-6.35
3,2015-11-03,11.91,0.93,284,0.61,586,1.26,-302,-0.65,183,0.39,-467,-1.00
4,2015-11-02,11.80,-1.09,-1965,-3.69,-38.24,-0.07,-1926,-3.62,82.09,0.15,1883,3.54
5,2015-10-30,11.93,0.08,-2175,-3.44,-626,-0.99,-1549,-2.45,161,0.25,2014,3.18
6,2015-10-29,11.92,0.59,-82.82,-0.16,94.67,0.18,-177,-0.33,-260,-0.49,343,0.64
7,2015-10-28,11.85,-2.95,-7015,-7.77,-421,-0.47,-6594,-7.30,1740,1.93,5274,5.84
8,2015-10-27,12.21,0.99,1763,2.01,3495,3.99,-1732,-1.98,-2438,-2.78,675,0.77
9,2015-10-26,12.09,1.51,344,0.42,1652,2.03,-1308,-1.61,-969,-1.19,625,0.77
10,2015-10-23,11.91,-1.00,-7691,-8.59,-5041,-5.63,-2651,-2.96,653,0.73,7038,7.86
11,2015-10-22,12.03,5.53,1416,1.66,793,0.93,624,0.73,-582,-0.68,-834,-0.98
12,2015-10-21,11.40,-10.02,-22300.0,-19.79,-13400.0,-11.88,-8912,-7.91,6326,5.61,16000.0,14.18
13,2015-10-20,12.67,4.97,-2440,-1.95,-2726,-2.18,286,0.23,3197,2.56,-758,-0.61
14,2015-10-19,12.07,-1.39,-23500.0,-16.99,-17800.0,-12.90,-5653,-4.09,9463,6.85,14000.0,10.14
15,2015-10-16,12.24,9.97,21200.0,17.29,31200.0,25.38,-9940,-8.09,-11700.0,-9.50,-9562,-7.78
16,2015-10-15,11.13,4.61,5177,7.16,4162,5.76,1015,1.41,-1493,-2.07,-3685,-5.10
17,2015-10-14,10.64,-0.56,-1005,-1.51,694,1.04,-1698,-2.55,-16.94,-0.03,1022,1.53
18,2015-10-13,10.70,-0.28,-2074,-3.68,-1784,-3.17,-290,-0.52,-32.12,-0.06,2106,3.74
19,2015-10-12,10.73,8.06,5683,8.01,3400,4.79,2284,3.22,-2383,-3.36,-3300,-4.65
20,2015-10-09,9.93,2.27,2585,6.71,1557,4.04,1028,2.67,-1378,-3.58,-1207,-3.13
21,2015-10-08,9.71,4.75,1263,4.51,853,3.05,410,1.47,-226,-0.81,-1037,-3.71
22,2015-09-30,9.27,-0.32,-2476,-13.57,-38.58,-0.21,-2438,-13.36,668,3.66,1808,9.91
23,2015-09-29,9.30,-3.43,-1804,-9.54,-557,-2.95,-1247,-6.59,799,4.22,1005,5.32
24,2015-09-28,9.63,2.56,1356,6.57,967,4.69,389,1.89,-1023,-4.96,-333,-1.62
25,2015-09-25,9.39,-7.03,-5995,-18.39,-1753,-5.38,-4242,-13.01,1229,3.77,4766,14.62
26,2015-09-24,10.10,2.12,537,1.46,-347,-0.94,884,2.41,-515,-1.40,-22.60,-0.06
27,2015-09-23,9.89,-3.79,-2449,-6.26,-982,-2.51,-1467,-3.75,-281,-0.72,2730,6.98
28,2015-09-22,10.28,2.59,-458,-0.71,216,0.33,-674,-1.04,353,0.55,105,0.16
29,2015-09-21,10.02,2.56,-1152,-2.29,-146,-0.29,-1006,-2.00,117,0.23,1034,2.06
