,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,12.35,3.09,687,3.86,330,1.86,356,2.01,185,1.04,-871,-4.90
1,2015-11-05,11.98,-1.07,-4331,-18.32,-668,-2.83,-3663,-15.50,544,2.30,3787,16.02
2,2015-11-04,12.11,6.23,654,4.08,-255,-1.59,910,5.67,357,2.23,-1012,-6.31
3,2015-11-03,11.40,-0.44,-654,-12.89,-173,-3.42,-481,-9.47,163,3.21,491,9.68
4,2015-11-02,11.45,-1.89,-7.09,-0.11,101,1.53,-109,-1.64,329,4.97,-322,-4.86
5,2015-10-30,11.67,-0.09,-151,-2.42,178,2.86,-328,-5.28,-94.38,-1.52,245,3.94
6,2015-10-29,11.68,0.52,-654,-10.46,-84.41,-1.35,-569,-9.11,187,2.99,467,7.47
7,2015-10-28,11.62,-5.22,-1645,-16.02,-688,-6.70,-957,-9.32,286,2.78,1359,13.23
8,2015-10-27,12.26,-1.84,-1692,-8.87,-129,-0.68,-1563,-8.19,-382,-2.00,2074,10.87
9,2015-10-26,12.49,8.99,2572,12.21,1033,4.90,1539,7.30,-1310,-6.22,-1262,-5.99
10,2015-10-23,11.46,2.87,592,5.19,111,0.97,481,4.22,-133,-1.17,-459,-4.02
11,2015-10-22,11.14,3.15,-171,-2.01,-11.92,-0.14,-159,-1.87,148,1.74,23.14,0.27
12,2015-10-21,10.80,-7.14,-249,-1.54,298,1.85,-547,-3.39,-564,-3.49,813,5.03
13,2015-10-20,11.63,3.56,477,4.02,369,3.11,108,0.91,76.48,0.65,-553,-4.67
14,2015-10-19,11.23,-3.69,-2024,-19.86,-1369,-13.43,-655,-6.43,1102,10.81,922,9.05
15,2015-10-16,11.66,-0.26,-509,-3.31,-558,-3.62,48.45,0.31,-438,-2.85,948,6.15
16,2015-10-15,11.69,6.27,842,4.69,1157,6.44,-315,-1.76,-712,-3.96,-130,-0.72
17,2015-10-14,11.00,-2.14,-3.61,-0.03,284,2.49,-288,-2.53,-689,-6.05,692,6.08
18,2015-10-13,11.24,4.07,-1407,-8.27,-82.97,-0.49,-1324,-7.78,-41.63,-0.24,1449,8.52
19,2015-10-12,10.80,9.98,-35.87,-0.17,-726,-3.43,690,3.26,686,3.24,-650,-3.07
20,2015-10-09,9.82,2.83,441,8.42,0,0,441,8.42,109,2.08,-550,-10.50
21,2015-10-08,9.55,5.18,726,13.56,0,0,726,13.56,-169,-3.16,-557,-10.40
22,2015-09-30,9.08,0.78,-569,-11.15,174,3.41,-743,-14.56,221,4.33,348,6.82
23,2015-09-29,9.01,-4.05,-598,-14.12,-111,-2.61,-487,-11.51,127,3.00,471,11.13
24,2015-09-28,9.39,2.40,34.74,0.82,231,5.48,-196,-4.65,-533,-12.62,498,11.80
25,2015-09-25,9.17,-7.84,-876,-8.76,134,1.34,-1010,-10.10,83.76,0.84,793,7.92
26,2015-09-24,9.95,9.10,131,0.93,-451,-3.20,582,4.12,124,0.88,-255,-1.81
27,2015-09-23,9.12,-4.00,-891,-19.11,-375,-8.03,-517,-11.07,246,5.26,646,13.84
28,2015-09-22,9.50,0.11,58.17,1.12,0,0,58.17,1.12,66.33,1.28,-125,-2.41
29,2015-09-21,9.49,4.06,88.39,1.83,0,0,88.39,1.83,61.48,1.27,-150,-3.10
