,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,12.30,0.57,-1528,-3.09,-123,-0.25,-1405,-2.84,-851,-1.72,2379,4.81
1,2015-11-05,12.23,1.49,4897,6.44,8030,10.57,-3133,-4.12,-1892,-2.49,-3005,-3.96
2,2015-11-04,12.05,2.82,1459,3.44,1005,2.37,455,1.07,30.68,0.07,-1490,-3.52
3,2015-11-03,11.72,0.26,224,1.21,-2.64,-0.01,227,1.23,-1154,-6.23,929,5.02
4,2015-11-02,11.69,0,851,2.96,-417,-1.45,1268,4.41,-1826,-6.35,975,3.39
5,2015-10-30,11.69,-1.60,-2920,-12.59,-1369,-5.91,-1551,-6.69,739,3.19,2181,9.41
6,2015-10-29,11.88,0.93,1673,7.22,677,2.92,996,4.30,-1926,-8.31,253,1.09
7,2015-10-28,11.77,-2.49,-5770,-16.64,-2300,-6.63,-3470,-10.01,1108,3.20,4662,13.44
8,2015-10-27,12.07,-1.79,-2003,-5.18,-961,-2.49,-1042,-2.69,-627,-1.62,2630,6.80
9,2015-10-26,12.29,2.25,482,0.79,942,1.54,-460,-0.75,-355,-0.58,-127,-0.21
10,2015-10-23,12.02,2.74,660,1.45,1535,3.38,-875,-1.93,-680,-1.50,19.74,0.04
11,2015-10-22,11.70,2.99,533,1.34,1407,3.54,-874,-2.20,-956,-2.40,423,1.06
12,2015-10-21,11.36,-8.31,-8953,-12.55,-5401,-7.57,-3552,-4.98,1923,2.70,7030,9.86
13,2015-10-20,12.39,-1.90,-6653,-10.82,-4725,-7.68,-1928,-3.13,1120,1.82,5533,9.00
14,2015-10-19,12.63,4.73,614,0.75,-936,-1.14,1550,1.89,-745,-0.91,131,0.16
15,2015-10-16,12.06,-1.71,-7378,-12.91,-4089,-7.15,-3289,-5.76,1004,1.76,6373,11.15
16,2015-10-15,12.27,0.49,-1003,-1.60,-545,-0.87,-459,-0.73,88.26,0.14,915,1.46
17,2015-10-14,12.21,-7.43,-14400.0,-15.90,-7575,-8.39,-6779,-7.51,2382,2.64,12000.0,13.26
18,2015-10-13,13.19,-64.61,-4387,-10.13,-2060,-4.76,-2327,-5.37,262,0.61,4125,9.53
19,2015-10-12,37.27,5.46,-10700.0,-11.54,-5420,-5.86,-5256,-5.68,4867,5.26,5809,6.28
20,2015-10-09,35.34,-0.67,-3317,-5.91,-3811,-6.80,495,0.88,318,0.57,2998,5.35
21,2015-10-08,35.58,8.71,2393,2.41,3274,3.30,-881,-0.89,-3087,-3.12,695,0.70
22,2015-09-30,32.73,10.02,5064,6.47,6365,8.13,-1301,-1.66,-640,-0.82,-4424,-5.65
23,2015-09-29,29.75,-0.47,-439,-1.28,208,0.60,-648,-1.88,-330,-0.96,769,2.24
24,2015-09-28,29.89,6.75,5125,10.83,6600,13.95,-1475,-3.12,-1902,-4.02,-3223,-6.81
25,2015-09-25,28.00,-3.85,-2722,-10.28,-497,-1.88,-2225,-8.40,1020,3.85,1702,6.43
26,2015-09-24,29.12,4.79,4874,12.30,2582,6.51,2293,5.79,-1902,-4.80,-2972,-7.50
27,2015-09-23,27.79,-0.36,-183,-0.76,814,3.39,-997,-4.16,-1365,-5.69,1548,6.45
28,2015-09-22,27.89,0.11,-93.20,-0.47,-327,-1.64,234,1.18,-8.74,-0.04,102,0.51
29,2015-09-21,27.86,5.89,2887,13.08,1544,6.99,1343,6.09,-200,-0.91,-2687,-12.17
