,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,8.00,1.52,5665,6.00,5459,5.78,206,0.22,-3078,-3.26,-2587,-2.74
1,2015-11-05,7.88,1.03,-7351,-5.69,-4841,-3.75,-2509,-1.94,2261,1.75,5089,3.94
2,2015-11-04,7.80,5.83,7604,9.22,3766,4.57,3839,4.65,-830,-1.01,-6774,-8.21
3,2015-11-03,7.37,-0.94,-10900.0,-17.84,-7705,-12.63,-3182,-5.22,3071,5.03,7816,12.81
4,2015-11-02,7.44,-5.46,-12900.0,-16.16,-8694,-10.92,-4174,-5.24,2995,3.76,9873,12.40
5,2015-10-30,7.87,0.13,-2403,-2.11,-1367,-1.20,-1037,-0.91,-518,-0.45,2921,2.56
6,2015-10-29,7.86,-1.38,-23300.0,-15.93,-14000.0,-9.57,-9283,-6.36,6951,4.76,16300.0,11.17
7,2015-10-28,7.97,7.27,38900.0,14.80,49600.0,18.88,-10700.0,-4.08,-23200.0,-8.84,-15600.0,-5.96
8,2015-10-27,7.43,-1.33,-5665,-8.39,-3814,-5.65,-1851,-2.74,-484,-0.72,6149,9.10
9,2015-10-26,7.53,-0.40,-31100.0,-21.22,-16300.0,-11.13,-14800.0,-10.09,7030,4.79,24100.0,16.43
10,2015-10-23,7.56,5.00,-7532,-5.70,-9468,-7.16,1935,1.46,5662,4.28,1871,1.42
11,2015-10-22,7.20,4.65,2334,2.44,1994,2.09,340,0.36,-926,-0.97,-1408,-1.47
12,2015-10-21,6.88,-9.71,-40900.0,-26.94,-36300.0,-23.92,-4591,-3.02,11900.0,7.85,29000.0,19.09
13,2015-10-20,7.62,-2.31,-19300.0,-15.22,-16800.0,-13.25,-2495,-1.97,5896,4.65,13400.0,10.57
14,2015-10-19,7.80,8.79,15900.0,6.18,23800.0,9.25,-7889,-3.07,-8772,-3.41,-7112,-2.77
15,2015-10-16,7.17,9.97,19700.0,27.35,23600.0,32.89,-3984,-5.54,-8939,-12.44,-10700.0,-14.91
16,2015-10-15,6.52,3.33,5461,12.76,4508,10.53,952,2.22,-1651,-3.86,-3810,-8.90
17,2015-10-14,6.31,-1.41,-1555,-4.99,-565,-1.81,-990,-3.18,431,1.38,1124,3.61
18,2015-10-13,6.40,0.47,-1385,-3.65,-796,-2.10,-589,-1.55,-312,-0.82,1697,4.47
19,2015-10-12,6.37,5.29,2200,4.86,1264,2.79,936,2.07,-88.94,-0.20,-2111,-4.66
20,2015-10-09,6.05,1.85,1343,4.68,542,1.89,802,2.79,107,0.37,-1451,-5.05
21,2015-10-08,5.94,3.66,1593,6.10,9.52,0.04,1583,6.06,481,1.84,-2074,-7.94
22,2015-09-30,5.73,-0.17,-1468,-14.39,-494,-4.84,-974,-9.55,210,2.06,1258,12.33
23,2015-09-29,5.74,-3.04,-2531,-18.40,-687,-5.00,-1843,-13.40,584,4.24,1947,14.16
24,2015-09-28,5.92,-0.50,-1481,-7.46,-363,-1.83,-1118,-5.63,423,2.13,1059,5.33
25,2015-09-25,5.95,1.36,223,0.58,904,2.34,-681,-1.76,-834,-2.16,611,1.58
26,2015-09-24,5.87,1.03,-1926,-13.72,-467,-3.33,-1459,-10.39,872,6.22,1054,7.51
27,2015-09-23,5.81,-3.01,-2256,-13.46,-1015,-6.06,-1240,-7.40,30.71,0.18,2225,13.28
28,2015-09-22,5.99,0.34,-1414,-6.15,-1303,-5.67,-111,-0.48,790,3.44,623,2.71
29,2015-09-21,5.97,3.11,1923,9.25,1354,6.51,570,2.74,-288,-1.38,-1636,-7.87
