,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,10.72,8.28,1529,5.09,831,2.77,699,2.33,-229,-0.76,-1300,-4.33
1,2015-11-05,9.90,1.12,-525,-2.03,881,3.40,-1406,-5.43,817,3.16,-292,-1.13
2,2015-11-04,9.79,7.82,3953,20.16,1912,9.75,2041,10.41,-1422,-7.25,-2531,-12.91
3,2015-11-03,9.08,0.22,-687,-10.65,-64.69,-1.00,-622,-9.65,465,7.21,222,3.44
4,2015-11-02,9.06,-2.69,-908,-11.41,45.27,0.57,-953,-11.98,216,2.72,692,8.69
5,2015-10-30,9.31,-2.72,-909,-8.37,203,1.87,-1112,-10.24,-297,-2.73,1206,11.10
6,2015-10-29,9.57,1.48,621,5.63,-26.53,-0.24,647,5.87,-515,-4.67,-106,-0.96
7,2015-10-28,9.43,-0.42,696,7.21,-44.70,-0.46,740,7.67,-408,-4.23,-288,-2.98
8,2015-10-27,9.47,0.64,321,2.77,-29.16,-0.25,350,3.02,-426,-3.68,105,0.91
9,2015-10-26,9.41,2.39,805,5.12,118,0.75,687,4.37,-272,-1.73,-534,-3.40
10,2015-10-23,9.19,4.43,1268,9.42,319,2.37,949,7.05,-174,-1.29,-1094,-8.13
11,2015-10-22,8.80,3.53,28.53,0.35,88.84,1.08,-60.31,-0.73,-144,-1.75,116,1.41
12,2015-10-21,8.50,-7.81,-1031,-7.21,-251,-1.75,-780,-5.46,5.06,0.04,1026,7.18
13,2015-10-20,9.22,0.99,-174,-2.00,13.02,0.15,-187,-2.15,163,1.88,11.10,0.13
14,2015-10-19,9.13,0.44,-342,-2.95,-327,-2.82,-14.84,-0.13,388,3.34,-45.64,-0.39
15,2015-10-16,9.09,1.11,-636,-4.81,-345,-2.61,-291,-2.20,274,2.07,363,2.74
16,2015-10-15,8.99,4.53,1691,12.65,1044,7.81,647,4.84,-748,-5.60,-943,-7.05
17,2015-10-14,8.60,-2.49,-683,-8.07,-623,-7.36,-60.01,-0.71,121,1.43,562,6.64
18,2015-10-13,8.82,0.23,-493,-5.58,-231,-2.61,-262,-2.97,199,2.25,294,3.33
19,2015-10-12,8.80,4.39,1086,9.00,-90.06,-0.75,1176,9.75,-172,-1.43,-914,-7.58
20,2015-10-09,8.43,1.20,354,4.02,824,9.36,-470,-5.34,-401,-4.56,47.09,0.53
21,2015-10-08,8.33,3.09,-495,-5.80,-423,-4.95,-72.70,-0.85,670,7.84,-175,-2.04
22,2015-09-30,8.08,1.13,-7.77,-0.24,-50.41,-1.58,42.65,1.33,38.07,1.19,-30.30,-0.95
23,2015-09-29,7.99,-1.11,65.49,1.91,0,0,65.49,1.91,-45.49,-1.33,-20.00,-0.58
24,2015-09-28,8.08,1.25,93.58,2.48,111,2.94,-17.31,-0.46,-225,-5.97,132,3.49
25,2015-09-25,7.98,-2.92,-542,-8.32,251,3.85,-793,-12.17,90.26,1.39,451,6.93
26,2015-09-24,8.22,1.48,-995,-16.41,-502,-8.28,-493,-8.14,867,14.29,129,2.12
27,2015-09-23,8.10,-2.64,-370,-5.56,-8.90,-0.13,-361,-5.42,-144,-2.17,514,7.72
28,2015-09-22,8.32,0.60,404,4.10,-8135,-0.01,404,4.11,76.03,0.77,-480,-4.87
29,2015-09-21,8.27,2.73,470,5.77,430,5.27,40.17,0.49,-169,-2.07,-301,-3.69
