,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,12.74,2.41,-621,-2.12,115,0.39,-736,-2.51,1131,3.86,-510,-1.74
1,2015-11-05,12.44,1.06,-2565,-9.14,-1277,-4.55,-1288,-4.59,331,1.18,2233,7.95
2,2015-11-04,12.31,4.68,1920,10.23,1439,7.67,481,2.56,-261,-1.39,-1659,-8.84
3,2015-11-03,11.76,-1.18,-69.86,-0.48,-223,-1.54,153,1.06,-798,-5.50,868,5.98
4,2015-11-02,11.90,-5.03,-3048,-16.22,-1335,-7.11,-1713,-9.12,482,2.56,2566,13.66
5,2015-10-30,12.53,-3.09,-1807,-7.95,-623,-2.74,-1184,-5.21,47.30,0.21,1760,7.74
6,2015-10-29,12.93,3.36,3903,11.78,2268,6.85,1635,4.93,-1415,-4.27,-2488,-7.51
7,2015-10-28,12.51,-3.84,-1772,-5.68,-464,-1.49,-1308,-4.20,-832,-2.67,2603,8.35
8,2015-10-27,13.01,1.96,-2546,-6.34,-261,-0.65,-2285,-5.69,305,0.76,2241,5.58
9,2015-10-26,12.76,2.16,-5530,-10.16,-1759,-3.23,-3771,-6.93,488,0.90,5042,9.26
10,2015-10-23,12.49,10.04,4206,11.42,2139,5.81,2066,5.61,-2946,-8.00,-1260,-3.42
11,2015-10-22,11.35,2.71,-206,-1.00,96.62,0.47,-303,-1.47,-53.34,-0.26,260,1.26
12,2015-10-21,11.05,-10.02,-2925,-10.51,-1206,-4.34,-1719,-6.18,-1516,-5.45,4441,15.96
13,2015-10-20,12.28,0.99,-441,-1.76,90.94,0.36,-532,-2.12,257,1.02,185,0.74
14,2015-10-19,12.16,3.93,-2244,-7.09,-493,-1.56,-1752,-5.54,681,2.15,1563,4.94
15,2015-10-16,11.70,0.09,-1117,-4.40,-153,-0.60,-964,-3.79,-163,-0.64,1281,5.04
16,2015-10-15,11.69,3.00,424,1.85,-31.08,-0.14,455,1.98,-521,-2.27,97.41,0.42
17,2015-10-14,11.35,-4.62,-5019,-17.15,-2217,-7.58,-2802,-9.58,1076,3.68,3943,13.48
18,2015-10-13,11.90,7.40,-508,-1.36,-383,-1.03,-124,-0.33,434,1.16,73.67,0.20
19,2015-10-12,11.08,8.63,3306,10.97,2085,6.92,1221,4.05,-1177,-3.90,-2130,-7.07
20,2015-10-09,10.20,3.03,544,3.25,99.40,0.59,445,2.65,-62.13,-0.37,-482,-2.88
21,2015-10-08,9.90,3.56,714,5.30,64.86,0.48,649,4.82,-815,-6.05,102,0.76
22,2015-09-30,9.56,-1.24,-1176,-9.59,-146,-1.19,-1030,-8.40,27.06,0.22,1149,9.37
23,2015-09-29,9.68,-9.02,-990,-7.49,-167,-1.26,-824,-6.23,-322,-2.44,1312,9.93
24,2015-09-28,10.64,-59.05,-583,-3.32,-12.58,-0.07,-571,-3.25,-236,-1.34,819,4.66
25,2015-09-25,25.98,-8.49,-5269,-17.49,-1921,-6.38,-3348,-11.11,-105,-0.35,5374,17.84
26,2015-09-24,28.39,10.00,-326,-0.98,562,1.69,-887,-2.67,-452,-1.36,777,2.34
27,2015-09-23,25.81,0.94,-811,-3.34,201,0.83,-1013,-4.17,320,1.32,492,2.03
28,2015-09-22,25.57,4.88,-5595,-15.22,-3424,-9.31,-2171,-5.91,3132,8.52,2463,6.70
29,2015-09-21,24.38,10.02,4539,18.58,5821,23.83,-1282,-5.25,-2356,-9.64,-2184,-8.94
