,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,7.27,0.97,1997,5.61,925,2.60,1072,3.01,-1003,-2.82,-994,-2.79
1,2015-11-05,7.20,-0.14,-3233,-6.39,-848,-1.68,-2384,-4.71,233,0.46,3000,5.93
2,2015-11-04,7.21,4.80,5466,15.16,3098,8.59,2367,6.56,-930,-2.58,-4536,-12.58
3,2015-11-03,6.88,0,61.19,0.32,243,1.29,-181,-0.96,-385,-2.04,323,1.72
4,2015-11-02,6.88,1.18,-188,-0.74,267,1.04,-456,-1.78,-70.36,-0.27,259,1.01
5,2015-10-30,6.80,-1.16,-1532,-6.00,-903,-3.54,-629,-2.46,-799,-3.13,2331,9.13
6,2015-10-29,6.88,0.15,-1809,-6.60,-1811,-6.60,1.70,0.01,790,2.88,1019,3.72
7,2015-10-28,6.87,-3.65,-4969,-15.03,-3469,-10.49,-1500,-4.54,-569,-1.72,5537,16.75
8,2015-10-27,7.13,-1.79,-3889,-9.38,-1566,-3.78,-2323,-5.60,-723,-1.74,4612,11.12
9,2015-10-26,7.26,-3.33,-10700.0,-18.86,-5223,-9.18,-5505,-9.68,1071,1.88,9657,16.98
10,2015-10-23,7.51,-1.05,-3131,-4.04,-592,-0.76,-2539,-3.28,-632,-0.82,3763,4.86
11,2015-10-22,7.59,7.05,-2936,-3.01,-1092,-1.12,-1844,-1.89,631,0.65,2306,2.37
12,2015-10-21,7.09,0.28,-19400.0,-13.44,-14000.0,-9.70,-5411,-3.74,3445,2.38,16000.0,11.06
13,2015-10-20,7.07,9.95,12400.0,19.25,13700.0,21.21,-1266,-1.96,-6606,-10.25,-5801,-9.00
14,2015-10-19,6.43,-2.87,-5757,-16.06,-1726,-4.82,-4031,-11.25,975,2.72,4782,13.34
15,2015-10-16,6.62,0.30,-3881,-8.66,-987,-2.20,-2894,-6.46,1035,2.31,2846,6.35
16,2015-10-15,6.60,3.94,2916,7.06,2420,5.86,496,1.20,-680,-1.65,-2236,-5.41
17,2015-10-14,6.35,0.79,-1074,-2.57,-126,-0.30,-949,-2.27,-593,-1.42,1668,3.99
18,2015-10-13,6.30,0.80,539,1.77,770,2.53,-231,-0.76,-412,-1.36,-126,-0.42
19,2015-10-12,6.25,4.87,1355,3.37,-1524,-3.79,2878,7.16,653,1.63,-2008,-4.99
20,2015-10-09,5.96,4.93,3022,11.04,3388,12.38,-366,-1.34,-1265,-4.62,-1757,-6.42
21,2015-10-08,5.68,4.99,2578,15.70,2680,16.32,-102,-0.62,-1039,-6.33,-1538,-9.37
22,2015-09-30,5.41,-1.81,-2757,-25.88,-1523,-14.30,-1234,-11.58,364,3.42,2393,22.46
23,2015-09-29,5.51,-4.34,-1576,-13.08,-94.98,-0.79,-1481,-12.29,-604,-5.01,2179,18.09
24,2015-09-28,5.76,0.52,-293,-3.65,-25.49,-0.32,-267,-3.33,-47.44,-0.59,340,4.24
25,2015-09-25,5.73,-5.29,-4195,-23.63,-1562,-8.80,-2633,-14.84,-139,-0.78,4334,24.42
26,2015-09-24,6.05,4.31,2843,12.27,1650,7.12,1193,5.15,-1622,-7.00,-1221,-5.27
27,2015-09-23,5.80,-3.81,-2374,-12.63,-762,-4.05,-1612,-8.58,-770,-4.09,3144,16.73
28,2015-09-22,6.03,-0.99,-1286,-5.69,394,1.74,-1680,-7.43,-154,-0.68,1440,6.37
29,2015-09-21,6.09,3.92,1686,8.61,775,3.96,911,4.65,-720,-3.67,-966,-4.93
