,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,8.63,0.94,1808,1.81,151,0.15,1656,1.65,-625,-0.62,-1183,-1.18
1,2015-11-05,8.55,1.54,-14200.0,-6.82,-13700.0,-6.60,-459,-0.22,8306,4.00,5847,2.82
2,2015-11-04,8.42,10.07,19800.0,26.80,24300.0,32.79,-4435,-5.99,-9563,-12.92,-10300.0,-13.88
3,2015-11-03,7.65,-0.26,-1543,-7.17,-1046,-4.86,-498,-2.31,622,2.89,921,4.28
4,2015-11-02,7.67,-0.90,-1389,-5.05,-651,-2.37,-737,-2.68,477,1.74,911,3.31
5,2015-10-30,7.74,-0.39,-1977,-6.78,-1770,-6.07,-207,-0.71,-6.31,-0.02,1983,6.80
6,2015-10-29,7.77,1.04,-1815,-4.94,-2899,-7.90,1085,2.95,-128,-0.35,1943,5.29
7,2015-10-28,7.69,-1.66,-2659,-7.53,-1011,-2.86,-1648,-4.67,1231,3.49,1428,4.05
8,2015-10-27,7.82,-1.26,-4242,-10.77,-1329,-3.37,-2914,-7.40,366,0.93,3876,9.84
9,2015-10-26,7.92,0.38,-2077,-4.06,-665,-1.30,-1412,-2.76,767,1.50,1310,2.56
10,2015-10-23,7.89,1.02,-1452,-2.78,363,0.70,-1814,-3.48,367,0.70,1085,2.08
11,2015-10-22,7.81,2.23,-3899,-8.65,-3036,-6.74,-862,-1.91,1122,2.49,2776,6.16
12,2015-10-21,7.64,-7.06,-3861,-5.23,-1949,-2.64,-1912,-2.59,936,1.27,2925,3.96
13,2015-10-20,8.22,1.11,826,1.51,789,1.45,36.38,0.07,-428,-0.79,-397,-0.73
14,2015-10-19,8.13,0.25,-2134,-2.94,-3414,-4.70,1280,1.76,1427,1.96,707,0.97
15,2015-10-16,8.11,1.25,143,0.22,-90.79,-0.14,234,0.35,415,0.63,-559,-0.84
16,2015-10-15,8.01,2.82,1983,3.60,1288,2.34,695,1.26,-1262,-2.29,-721,-1.31
17,2015-10-14,7.79,-2.14,-1926,-4.62,-1029,-2.47,-897,-2.15,-104,-0.25,2029,4.87
18,2015-10-13,7.96,0.63,-3021,-5.69,-1359,-2.56,-1662,-3.13,814,1.53,2208,4.16
19,2015-10-12,7.91,4.49,3298,5.63,4225,7.21,-927,-1.58,-1252,-2.14,-2046,-3.49
20,2015-10-09,7.57,0.40,-560,-1.88,-574,-1.92,13.84,0.05,396,1.33,164,0.55
21,2015-10-08,7.54,4.00,3778,9.07,-84.72,-0.20,3863,9.28,-1794,-4.31,-1984,-4.76
22,2015-09-30,7.25,0.97,2675,12.64,-608,-2.87,3283,15.51,-1462,-6.91,-1213,-5.73
23,2015-09-29,7.18,-2.84,-3381,-14.78,-1822,-7.96,-1559,-6.82,983,4.30,2397,10.48
24,2015-09-28,7.39,1.51,1115,6.96,896,5.59,219,1.36,-742,-4.63,-373,-2.33
25,2015-09-25,7.28,-4.71,-6351,-19.47,-3345,-10.25,-3007,-9.22,912,2.80,5439,16.68
26,2015-09-24,7.64,1.87,-8.75,-0.03,1948,6.30,-1956,-6.33,-115,-0.37,124,0.40
27,2015-09-23,7.50,-3.97,-5547,-14.96,-4666,-12.58,-881,-2.38,937,2.53,4610,12.43
28,2015-09-22,7.81,0.13,320,0.74,13.21,0.03,306,0.71,290,0.67,-610,-1.41
29,2015-09-21,7.80,2.77,2764,6.65,1516,3.65,1248,3.00,-1337,-3.22,-1427,-3.43
