,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,12.25,6.06,4813,8.50,1565,2.77,3248,5.74,-1765,-3.12,-3048,-5.38
1,2015-11-05,11.55,5.00,2866,5.82,3215,6.53,-349,-0.71,-1204,-2.45,-1662,-3.38
2,2015-11-04,11.00,5.36,-596,-2.16,-1366,-4.96,770,2.80,600,2.18,-3.82,-0.01
3,2015-11-03,10.44,0.77,157,1.54,91.59,0.89,65.64,0.64,-192,-1.88,35.25,0.34
4,2015-11-02,10.36,-2.36,-1647,-13.22,-570,-4.57,-1077,-8.64,424,3.40,1223,9.81
5,2015-10-30,10.61,-2.03,-1768,-11.17,-1071,-6.77,-696,-4.40,743,4.69,1025,6.48
6,2015-10-29,10.83,1.69,127,0.73,510,2.92,-383,-2.19,59.93,0.34,-187,-1.07
7,2015-10-28,10.65,-3.62,-4116,-21.19,-1804,-9.29,-2313,-11.91,818,4.21,3298,16.98
8,2015-10-27,11.05,-0.99,-920,-3.99,41.43,0.18,-961,-4.17,-596,-2.59,1516,6.58
9,2015-10-26,11.16,-1.24,-2987,-10.37,-406,-1.41,-2581,-8.96,229,0.80,2758,9.58
10,2015-10-23,11.30,1.44,-32.91,-0.09,634,1.66,-667,-1.75,-496,-1.30,529,1.39
11,2015-10-22,11.14,4.01,-1595,-3.97,-642,-1.60,-952,-2.37,334,0.83,1261,3.14
12,2015-10-21,10.71,-10.00,-7395,-13.46,-3391,-6.17,-4004,-7.29,644,1.17,6751,12.29
13,2015-10-20,11.90,7.30,3338,5.16,4909,7.59,-1571,-2.43,-3217,-4.98,-121,-0.19
14,2015-10-19,11.09,-2.29,-13400.0,-19.28,-7108,-10.25,-6256,-9.02,4053,5.85,9311,13.43
15,2015-10-16,11.35,9.98,-4556,-5.53,-3290,-3.99,-1266,-1.54,1465,1.78,3091,3.75
16,2015-10-15,10.32,10.02,-5445,-12.67,-7077,-16.46,1633,3.80,2673,6.22,2772,6.45
17,2015-10-14,9.38,9.96,732,11.38,1680,26.14,-949,-14.75,-463,-7.20,-269,-4.19
18,2015-07-06,8.53,-10.02,-7554,-25.03,-4649,-15.40,-2904,-9.62,3156,10.46,4398,14.57
19,2015-07-03,9.48,-9.97,-3521,-15.07,-270,-1.16,-3251,-13.91,1046,4.48,2474,10.59
20,2015-07-02,10.53,-10.00,-7960,-22.74,-7222,-20.63,-739,-2.11,3413,9.75,4548,12.99
21,2015-07-01,11.70,-10.00,-4008,-12.46,-1366,-4.25,-2642,-8.21,452,1.40,3556,11.05
22,2015-06-30,13.00,1.25,-2958,-5.97,408,0.82,-3366,-6.79,-513,-1.04,3471,7.00
23,2015-06-29,12.84,-10.02,-2619,-9.41,-1070,-3.85,-1549,-5.57,1209,4.35,1409,5.07
24,2015-06-26,14.27,-9.97,-2982,-19.23,-1874,-12.09,-1107,-7.14,1099,7.09,1883,12.14
25,2015-06-25,15.85,-9.99,-8013,-25.21,-5955,-18.73,-2058,-6.47,2761,8.69,5252,16.52
26,2015-06-24,17.61,1.73,-1508,-7.32,-423,-2.05,-1085,-5.26,726,3.52,783,3.80
27,2015-06-23,17.31,-2.53,-2034,-8.02,-3047,-12.01,1013,3.99,605,2.39,1429,5.63
28,2015-06-19,17.76,-5.18,-727,-2.29,97.52,0.31,-824,-2.60,22.36,0.07,704,2.22
29,2015-06-18,18.73,-6.58,-5716,-17.08,-2677,-8.00,-3039,-9.08,2242,6.70,3475,10.38
