,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,11.19,5.77,1152,6.04,1893,9.91,-741,-3.88,-818,-4.28,-334,-1.75
1,2015-11-05,10.58,6.33,2541,12.60,1300,6.45,1241,6.15,-1479,-7.33,-1062,-5.26
2,2015-11-04,9.95,3.86,68.33,0.63,-242,-2.25,311,2.88,306,2.84,-374,-3.47
3,2015-11-03,9.58,-1.24,-22.84,-0.29,-501,-6.44,478,6.15,-84.09,-1.08,107,1.38
4,2015-11-02,9.70,-1.22,-385,-3.28,-43.87,-0.37,-341,-2.91,551,4.69,-165,-1.41
5,2015-10-30,9.82,4.47,17.41,0.13,339,2.50,-322,-2.37,724,5.34,-742,-5.47
6,2015-10-29,9.40,2.17,618,11.45,209,3.88,408,7.57,-187,-3.48,-430,-7.97
7,2015-10-28,9.20,-4.37,-591,-6.72,-458,-5.21,-133,-1.51,87.56,1.00,504,5.72
8,2015-10-27,9.62,2.01,-653,-5.48,-427,-3.58,-226,-1.90,87.89,0.74,565,4.74
9,2015-10-26,9.43,1.73,-95.29,-1.24,234,3.06,-330,-4.30,111,1.45,-15.43,-0.20
10,2015-10-23,9.27,4.75,517,4.42,601,5.14,-84.24,-0.72,-204,-1.75,-312,-2.67
11,2015-10-22,8.85,2.91,-498,-6.94,99.44,1.39,-597,-8.32,160,2.23,338,4.70
12,2015-10-21,8.60,-10.04,-1143,-10.26,-139,-1.25,-1004,-9.01,519,4.66,624,5.60
13,2015-10-20,9.56,-0.10,-1031,-11.83,-7.02,-0.08,-1024,-11.75,477,5.47,554,6.36
14,2015-10-19,9.57,-0.73,95.10,1.03,42.33,0.46,52.77,0.57,-241,-2.62,146,1.58
15,2015-10-16,9.64,1.26,615,5.81,397,3.75,218,2.06,-794,-7.50,179,1.69
16,2015-10-15,9.52,2.04,-150,-1.35,466,4.20,-616,-5.55,60.94,0.55,89.13,0.80
17,2015-10-14,9.33,4.01,593,3.95,284,1.89,309,2.06,111,0.74,-705,-4.70
18,2015-10-13,8.97,0.34,78.35,1.07,-235,-3.20,313,4.27,-151,-2.06,73.06,1.00
19,2015-10-12,8.94,4.20,-282,-3.13,-614,-6.81,332,3.68,550,6.10,-267,-2.97
20,2015-10-09,8.58,1.66,22.47,0.56,0,0,22.47,0.56,5.49,0.14,-27.95,-0.70
21,2015-10-08,8.44,4.20,658,11.34,0,0,658,11.34,-300,-5.17,-358,-6.17
22,2015-09-30,8.10,-0.25,-221,-6.13,-91.39,-2.54,-129,-3.59,145,4.02,76.00,2.11
23,2015-09-29,8.12,-2.29,-34.84,-0.94,135,3.67,-170,-4.62,-125,-3.38,160,4.33
24,2015-09-28,8.31,2.72,73.29,1.92,-90.31,-2.36,164,4.28,-155,-4.06,82.09,2.15
25,2015-09-25,8.09,-5.16,-127,-1.25,-93.76,-0.92,-33.50,-0.33,-144,-1.42,271,2.67
26,2015-09-24,8.53,-1.95,-592,-5.71,126,1.22,-718,-6.92,-69.42,-0.67,661,6.37
27,2015-09-23,8.70,9.99,810,7.77,361,3.46,449,4.31,-15.21,-0.15,-794,-7.63
28,2015-09-22,7.91,0.76,444,6.54,189,2.78,255,3.75,-360,-5.30,-84.25,-1.24
29,2015-09-21,7.85,4.95,641,11.25,20.42,0.36,621,10.89,-203,-3.56,-438,-7.69
