,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,10.91,2.25,545,4.43,-8.76,-0.07,554,4.50,-293,-2.38,-252,-2.05
1,2015-11-05,10.67,-1.11,-773,-5.33,-328,-2.26,-446,-3.07,172,1.19,601,4.14
2,2015-11-04,10.79,5.99,1788,13.46,643,4.84,1146,8.62,51.20,0.39,-1840,-13.85
3,2015-11-03,10.18,0.69,-273,-3.60,-114,-1.50,-159,-2.10,-49.55,-0.65,322,4.25
4,2015-11-02,10.11,-3.53,-975,-8.83,-554,-5.01,-421,-3.82,180,1.63,795,7.20
5,2015-10-30,10.48,-1.60,-643,-3.87,-339,-2.04,-304,-1.83,-381,-2.29,1024,6.16
6,2015-10-29,10.65,-0.56,-168,-0.74,245,1.08,-414,-1.82,-801,-3.52,969,4.26
7,2015-10-28,10.71,-3.60,-985,-4.56,-783,-3.63,-202,-0.93,-207,-0.96,1192,5.53
8,2015-10-27,11.11,5.31,608,2.11,120,0.42,488,1.69,-1033,-3.58,425,1.48
9,2015-10-26,10.55,5.08,-109,-0.35,776,2.53,-885,-2.89,-648,-2.11,756,2.47
10,2015-10-23,10.04,5.46,2924,8.96,880,2.70,2044,6.27,-2328,-7.14,-596,-1.83
11,2015-10-22,9.52,6.37,1559,6.92,-67.74,-0.30,1626,7.22,-947,-4.20,-612,-2.72
12,2015-10-21,8.95,-8.58,-3075,-16.66,-670,-3.63,-2404,-13.03,1477,8.00,1597,8.65
13,2015-10-20,9.79,3.71,-411,-1.81,-1490,-6.58,1079,4.77,-291,-1.29,702,3.10
14,2015-10-19,9.44,-2.18,-2163,-16.17,-690,-5.16,-1473,-11.01,1155,8.64,1008,7.53
15,2015-10-16,9.65,2.66,-270,-1.67,438,2.71,-708,-4.39,988,6.12,-718,-4.45
16,2015-10-15,9.40,3.07,-142,-1.22,-529,-4.53,387,3.32,71.79,0.62,70.29,0.60
17,2015-10-14,9.12,-0.22,-265,-2.28,-275,-2.37,9.93,0.09,-150,-1.29,415,3.58
18,2015-10-13,9.14,-0.11,-859,-9.33,-359,-3.90,-500,-5.43,275,2.99,584,6.34
19,2015-10-12,9.15,5.90,272,2.15,-458,-3.61,730,5.76,-255,-2.01,-17.16,-0.14
20,2015-10-09,8.64,3.60,1717,19.28,-79.40,-0.89,1797,20.18,-949,-10.65,-769,-8.63
21,2015-10-08,8.34,4.51,558,6.74,572,6.91,-13.83,-0.17,-195,-2.36,-363,-4.38
22,2015-09-30,7.98,1.27,25.91,0.57,35.32,0.78,-9.41,-0.21,305,6.71,-331,-7.28
23,2015-09-29,7.88,-3.08,-238,-5.57,-88.52,-2.07,-150,-3.50,-149,-3.48,387,9.04
24,2015-09-28,8.13,2.91,212,5.39,0,0,212,5.39,-322,-8.20,110,2.81
25,2015-09-25,7.90,-5.05,-1052,-14.40,-15.05,-0.21,-1037,-14.20,402,5.50,651,8.91
26,2015-09-24,8.32,2.34,-242,-3.52,-336,-4.89,93.96,1.37,132,1.91,111,1.61
27,2015-09-23,8.13,-2.87,-927,-11.57,-581,-7.25,-346,-4.32,452,5.64,475,5.93
28,2015-09-22,8.37,3.59,154,1.14,-132,-0.97,286,2.11,1003,7.42,-1157,-8.56
29,2015-09-21,8.08,3.86,-98.26,-1.20,149,1.82,-248,-3.02,42.10,0.51,56.16,0.68
