,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,10.29,5.00,1043,3.77,352,1.27,691,2.50,-353,-1.27,-691,-2.50
1,2015-11-05,9.80,0.20,-1281,-6.80,-88.58,-0.47,-1192,-6.33,453,2.40,828,4.39
2,2015-11-04,9.78,5.96,1251,7.00,758,4.24,492,2.76,812,4.55,-2063,-11.54
3,2015-11-03,9.23,-0.54,-383,-5.39,56.10,0.79,-439,-6.18,17.41,0.24,366,5.14
4,2015-11-02,9.28,-4.23,-1952,-14.77,-379,-2.87,-1573,-11.90,-103,-0.78,2055,15.55
5,2015-10-30,9.69,4.08,1713,6.69,722,2.82,991,3.87,-389,-1.52,-1324,-5.17
6,2015-10-29,9.31,1.75,69.76,0.81,189,2.19,-119,-1.38,80.72,0.94,-150,-1.75
7,2015-10-28,9.15,-4.79,-2739,-22.02,-513,-4.12,-2226,-17.89,57.81,0.46,2681,21.55
8,2015-10-27,9.61,-1.94,-1868,-11.96,-674,-4.31,-1194,-7.65,-70.97,-0.45,1939,12.41
9,2015-10-26,9.80,-0.81,-908,-6.22,53.04,0.36,-961,-6.58,-950,-6.51,1859,12.73
10,2015-10-23,9.88,2.28,-730,-3.80,378,1.97,-1109,-5.77,719,3.74,10.92,0.06
11,2015-10-22,9.66,2.77,600,3.11,531,2.75,69.60,0.36,44.61,0.23,-645,-3.35
12,2015-10-21,9.40,-6.84,-2766,-10.56,-1384,-5.28,-1382,-5.27,-1502,-5.73,4268,16.29
13,2015-10-20,10.09,1.82,-49.71,-0.25,1364,6.83,-1414,-7.08,-850,-4.25,899,4.50
14,2015-10-19,9.91,1.85,-3362,-11.01,-973,-3.19,-2389,-7.82,332,1.09,3030,9.92
15,2015-10-16,9.73,3.18,2271,9.44,915,3.80,1355,5.63,-1429,-5.94,-841,-3.50
16,2015-10-15,9.43,5.13,3685,17.92,1725,8.39,1960,9.53,-1817,-8.84,-1868,-9.09
17,2015-10-14,8.97,-1.97,-635,-4.68,221,1.63,-856,-6.31,-571,-4.21,1206,8.89
18,2015-10-13,9.15,4.10,2564,13.66,571,3.04,1993,10.62,-1165,-6.20,-1399,-7.45
19,2015-10-12,8.79,5.78,698,4.21,470,2.83,229,1.38,-184,-1.11,-514,-3.10
20,2015-10-09,8.31,4.14,1783,12.75,874,6.25,909,6.50,-295,-2.11,-1487,-10.64
21,2015-10-08,7.98,6.40,304,2.88,148,1.41,155,1.47,540,5.13,-844,-8.01
22,2015-09-30,7.50,0,-11.65,-0.27,-106,-2.42,93.97,2.16,-210,-4.82,222,5.09
23,2015-09-29,7.50,-4.34,-1876,-26.53,-645,-9.12,-1231,-17.41,281,3.97,1595,22.56
24,2015-09-28,7.84,2.89,-672,-6.62,389,3.83,-1062,-10.45,69.03,0.68,603,5.94
25,2015-09-25,7.62,-4.99,-784,-8.90,-214,-2.43,-570,-6.46,-810,-9.19,1594,18.09
26,2015-09-24,8.02,1.52,-672,-8.01,-468,-5.58,-204,-2.43,-256,-3.05,927,11.06
27,2015-09-23,7.90,-1.37,-546,-7.16,-77.75,-1.02,-469,-6.14,-105,-1.38,652,8.53
28,2015-09-22,8.01,-0.25,-1070,-10.44,-120,-1.17,-950,-9.27,107,1.04,964,9.40
29,2015-09-21,8.03,5.38,492,4.72,-151,-1.45,643,6.16,-72.57,-0.70,-420,-4.02
