,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,10.77,2.57,2440,7.02,1602,4.61,838,2.41,-768,-2.21,-1672,-4.81
1,2015-11-05,10.50,-0.47,-1671,-4.60,-608,-1.67,-1063,-2.93,-56.39,-0.16,1727,4.76
2,2015-11-04,10.55,6.24,2692,8.26,1049,3.22,1643,5.04,396,1.22,-3089,-9.48
3,2015-11-03,9.93,0.71,-911,-6.05,-50.89,-0.34,-860,-5.72,32.30,0.21,878,5.84
4,2015-11-02,9.86,-2.76,-1268,-7.41,-509,-2.97,-759,-4.43,-524,-3.06,1792,10.47
5,2015-10-30,10.14,-1.46,-1212,-5.77,-547,-2.61,-665,-3.17,-562,-2.68,1774,8.45
6,2015-10-29,10.29,0,-1265,-5.20,-581,-2.39,-684,-2.81,-1104,-4.54,2369,9.73
7,2015-10-28,10.29,-4.46,-4641,-13.13,-1209,-3.42,-3432,-9.71,-357,-1.01,4998,14.14
8,2015-10-27,10.77,-2.18,-6096,-12.06,-2728,-5.40,-3368,-6.66,1168,2.31,4928,9.75
9,2015-10-26,11.01,9.66,3502,5.19,2154,3.19,1347,2.00,-901,-1.33,-2601,-3.85
10,2015-10-23,10.04,5.57,1486,4.31,1315,3.81,171,0.50,338,0.98,-1824,-5.29
11,2015-10-22,9.51,3.59,938,3.42,599,2.19,339,1.24,-779,-2.84,-159,-0.58
12,2015-10-21,9.18,-10.00,-7536,-18.06,-4375,-10.48,-3162,-7.58,188,0.45,7348,17.61
13,2015-10-20,10.20,1.09,-3228,-10.26,-1419,-4.51,-1809,-5.75,593,1.88,2635,8.37
14,2015-10-19,10.09,-2.04,-2496,-7.54,-1234,-3.73,-1262,-3.81,-385,-1.16,2881,8.70
15,2015-10-16,10.30,-0.19,-4087,-9.54,-1797,-4.19,-2290,-5.34,-148,-0.34,4235,9.88
16,2015-10-15,10.32,3.72,2329,4.91,2217,4.67,112,0.24,-70.29,-0.15,-2259,-4.76
17,2015-10-14,9.95,3.75,2582,5.01,2900,5.63,-319,-0.62,-1431,-2.78,-1151,-2.23
18,2015-10-13,9.59,2.46,106,0.32,-182,-0.55,287,0.87,-563,-1.71,457,1.39
19,2015-10-12,9.36,4.23,-404,-1.21,42.63,0.13,-446,-1.34,-286,-0.86,690,2.07
20,2015-10-09,8.98,3.46,1164,4.08,1467,5.15,-303,-1.06,-703,-2.47,-461,-1.62
21,2015-10-08,8.68,7.96,1811,9.16,923,4.67,888,4.49,223,1.13,-2034,-10.28
22,2015-09-30,8.04,0.50,-179,-2.20,-24.17,-0.30,-155,-1.90,-160,-1.97,340,4.17
23,2015-09-29,8.00,-3.85,-3491,-27.00,-3057,-23.64,-434,-3.35,946,7.31,2545,19.68
24,2015-09-28,8.32,2.34,-680,-6.54,-1378,-13.26,699,6.72,597,5.74,82.77,0.80
25,2015-09-25,8.13,-6.66,-2296,-14.76,-852,-5.48,-1443,-9.28,-547,-3.52,2843,18.27
26,2015-09-24,8.71,0.46,-717,-3.65,202,1.03,-919,-4.68,373,1.90,344,1.75
27,2015-09-23,8.67,1.17,592,2.62,1047,4.63,-455,-2.01,-412,-1.82,-180,-0.80
28,2015-09-22,8.57,1.42,-174,-0.66,154,0.59,-327,-1.25,-287,-1.10,460,1.76
29,2015-09-21,8.45,6.96,3156,13.40,2279,9.68,877,3.72,-994,-4.22,-2161,-9.18
