,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,9.21,2.11,8563,5.56,10700.0,6.93,-2101,-1.37,-5248,-3.41,-3316,-2.15
1,2015-11-05,9.02,2.04,12600.0,4.70,22800.0,8.48,-10200.0,-3.78,-6478,-2.41,-6162,-2.29
2,2015-11-04,8.84,4.86,8327,8.16,10900.0,10.71,-2601,-2.55,-5100,-5.00,-3227,-3.16
3,2015-11-03,8.43,-1.06,-3705,-9.11,-4065,-9.99,360,0.88,1503,3.70,2202,5.41
4,2015-11-02,8.52,-2.29,-4947,-11.04,-4567,-10.20,-380,-0.85,2764,6.17,2182,4.87
5,2015-10-30,8.72,0.69,977,1.66,1162,1.97,-185,-0.31,-16.66,-0.03,-960,-1.63
6,2015-10-29,8.66,0.58,-1679,-4.39,-1437,-3.76,-242,-0.63,1149,3.01,530,1.39
7,2015-10-28,8.61,-2.38,-5727,-8.80,-4843,-7.44,-884,-1.36,3209,4.93,2518,3.87
8,2015-10-27,8.82,-1.67,-7636,-9.30,-7757,-9.45,121,0.15,2233,2.72,5403,6.58
9,2015-10-26,8.97,-1.32,-29400.0,-17.70,-33600.0,-20.28,4281,2.58,15200.0,9.17,14100.0,8.53
10,2015-10-23,9.09,5.82,29600.0,16.91,31700.0,18.13,-2126,-1.22,-18700.0,-10.68,-10900.0,-6.23
11,2015-10-22,8.59,-0.69,-1867,-2.60,-4896,-6.82,3029,4.22,1044,1.45,823,1.15
12,2015-10-21,8.65,0.35,10300.0,6.56,17400.0,11.10,-7112,-4.54,-8190,-5.23,-2076,-1.33
13,2015-10-20,8.62,1.06,-940,-1.25,-2551,-3.40,1611,2.15,1973,2.63,-1033,-1.38
14,2015-10-19,8.53,-1.16,-2407,-2.67,-7082,-7.85,4676,5.18,2956,3.28,-549,-0.61
15,2015-10-16,8.63,1.41,3941,4.08,4878,5.05,-938,-0.97,-1109,-1.15,-2832,-2.93
16,2015-10-15,8.51,2.16,10200.0,14.91,7434,10.86,2776,4.05,-6637,-9.69,-3572,-5.22
17,2015-10-14,8.33,-2.34,-3533,-5.92,-6158,-10.32,2625,4.40,3468,5.81,64.98,0.11
18,2015-10-13,8.53,-0.47,-1853,-3.27,362,0.64,-2215,-3.91,1123,1.98,730,1.29
19,2015-10-12,8.57,3.00,3843,3.50,7018,6.40,-3175,-2.89,-3247,-2.96,-595,-0.54
20,2015-10-09,8.32,0.85,3400,5.95,3102,5.43,298,0.52,-639,-1.12,-2761,-4.83
21,2015-10-08,8.25,3.25,7354,8.82,5932,7.11,1422,1.70,-4101,-4.92,-3253,-3.90
22,2015-09-30,7.99,3.50,7121,11.67,7858,12.88,-737,-1.21,-3233,-5.30,-3888,-6.37
23,2015-09-29,7.72,-3.26,-5839,-17.94,-5425,-16.66,-414,-1.27,2037,6.26,3802,11.68
24,2015-09-28,7.98,-0.50,-2356,-11.71,-1764,-8.77,-592,-2.94,1286,6.39,1070,5.32
25,2015-09-25,8.02,-1.35,-2468,-4.97,1412,2.84,-3880,-7.81,1275,2.57,1193,2.40
26,2015-09-24,8.13,0.99,-1837,-5.62,895,2.74,-2732,-8.36,-72.27,-0.22,1909,5.84
27,2015-09-23,8.05,-2.78,-7478,-18.14,-6455,-15.66,-1023,-2.48,3420,8.30,4058,9.85
28,2015-09-22,8.28,0.73,4582,10.37,3280,7.42,1302,2.95,-2181,-4.93,-2401,-5.43
29,2015-09-21,8.22,0.86,1638,4.87,146,0.43,1492,4.44,-579,-1.72,-1059,-3.15
