,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,12.70,0.95,-667,-3.60,-36.82,-0.20,-630,-3.40,-204,-1.10,871,4.70
1,2015-11-05,12.58,0.64,-1286,-5.96,-1509,-7.00,223,1.04,893,4.14,392,1.82
2,2015-11-04,12.50,4.52,1454,7.29,1541,7.72,-86.97,-0.44,-935,-4.69,-519,-2.60
3,2015-11-03,11.96,-0.17,-1198,-8.15,-246,-1.67,-952,-6.47,717,4.88,481,3.27
4,2015-11-02,11.98,2.04,1781,7.66,1808,7.77,-26.85,-0.12,-1548,-6.66,-233,-1.00
5,2015-10-30,11.74,-0.42,-260,-1.71,-418,-2.76,158,1.04,-147,-0.97,407,2.68
6,2015-10-29,11.79,2.88,1587,10.03,1181,7.46,406,2.57,-969,-6.12,-618,-3.91
7,2015-10-28,11.46,-0.95,-1234,-8.56,-312,-2.16,-922,-6.40,341,2.37,893,6.20
8,2015-10-27,11.57,-0.17,450,3.74,509,4.23,-58.88,-0.49,-648,-5.38,198,1.64
9,2015-10-26,11.59,0.78,108,0.74,277,1.89,-169,-1.15,-536,-3.65,428,2.92
10,2015-10-23,11.50,3.23,1532,9.28,1409,8.54,123,0.74,-1597,-9.68,65.81,0.40
11,2015-10-22,11.14,2.77,763,9.43,118,1.47,644,7.97,-696,-8.60,-67.17,-0.83
12,2015-10-21,10.84,-6.39,-1556,-12.77,-585,-4.80,-971,-7.97,679,5.58,877,7.19
13,2015-10-20,11.58,0.26,-767,-8.38,6.85,0.07,-773,-8.45,354,3.87,413,4.51
14,2015-10-19,11.55,0.17,-378,-2.81,60.31,0.45,-438,-3.26,-215,-1.60,593,4.41
15,2015-10-16,11.53,1.23,626,5.71,486,4.44,140,1.28,-356,-3.25,-270,-2.46
16,2015-10-15,11.39,3.08,1015,8.00,215,1.69,800,6.30,-492,-3.87,-523,-4.12
17,2015-10-14,11.05,-1.16,-328,-3.88,-152,-1.80,-176,-2.08,260,3.07,68.26,0.81
18,2015-10-13,11.18,0.99,882,8.08,6.29,0.06,876,8.03,-311,-2.85,-571,-5.23
19,2015-10-12,11.07,4.83,2136,12.79,1507,9.02,628,3.76,-962,-5.76,-1174,-7.03
20,2015-10-09,10.56,1.25,119,1.90,96.71,1.54,22.61,0.36,7.05,0.11,-126,-2.02
21,2015-10-08,10.43,3.06,-397,-5.03,-393,-4.99,-3.90,-0.05,406,5.14,-8.59,-0.11
22,2015-09-30,10.12,-0.20,-194,-5.37,-332,-9.16,137,3.79,-13.11,-0.36,207,5.73
23,2015-09-29,10.14,-0.98,248,5.20,17.45,0.37,231,4.83,-346,-7.26,98.41,2.06
24,2015-09-28,10.24,0.89,-602,-8.84,-295,-4.33,-307,-4.51,45.57,0.67,556,8.17
25,2015-09-25,10.15,-6.97,-3115,-30.59,-1279,-12.56,-1836,-18.04,1165,11.45,1950,19.15
26,2015-09-24,10.91,0.65,-251,-4.08,-219,-3.56,-32.31,-0.53,135,2.19,116,1.89
27,2015-09-23,10.84,-1.54,-573,-7.93,-443,-6.14,-130,-1.79,-70.01,-0.97,643,8.90
28,2015-09-22,11.01,-0.45,-14.52,-0.16,46.40,0.51,-60.92,-0.67,-32.28,-0.36,46.80,0.52
29,2015-09-21,11.06,2.98,-186,-2.33,-183,-2.30,-2.62,-0.03,340,4.27,-154,-1.94
