,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,9.47,3.72,-134,-0.42,-5.18,-0.02,-129,-0.40,172,0.53,-37.90,-0.12
1,2015-11-05,9.13,-1.30,-3052,-11.00,-294,-1.06,-2759,-9.95,1575,5.68,1477,5.33
2,2015-11-04,9.25,5.59,4072,16.49,1413,5.72,2659,10.77,-1889,-7.65,-2183,-8.84
3,2015-11-03,8.76,2.10,-359,-2.42,-142,-0.96,-218,-1.47,268,1.81,91.13,0.61
4,2015-11-02,8.58,-4.24,-1072,-9.40,35.55,0.31,-1107,-9.71,-159,-1.39,1230,10.79
5,2015-10-30,8.96,-1.86,-594,-3.85,32.90,0.21,-627,-4.07,597,3.87,-2.62,-0.02
6,2015-10-29,9.13,0.55,434,2.12,-283,-1.38,716,3.50,-641,-3.13,207,1.01
7,2015-10-28,9.08,-3.30,-2046,-8.15,-302,-1.20,-1744,-6.95,-995,-3.97,3041,12.12
8,2015-10-27,9.39,3.19,1078,3.22,455,1.36,623,1.86,-2394,-7.15,1316,3.93
9,2015-10-26,9.10,2.25,-375,-1.48,62.46,0.25,-438,-1.72,970,3.82,-595,-2.34
10,2015-10-23,8.90,4.34,-1125,-3.87,-1778,-6.12,653,2.24,1484,5.10,-358,-1.23
11,2015-10-22,8.53,5.31,740,2.58,807,2.81,-66.56,-0.23,-1394,-4.85,654,2.28
12,2015-10-21,8.10,-10.00,-5386,-19.10,-2415,-8.56,-2971,-10.54,650,2.30,4736,16.80
13,2015-10-20,9.00,5.26,1060,2.91,668,1.83,392,1.07,-1738,-4.76,678,1.86
14,2015-10-19,8.55,3.64,1154,4.49,764,2.97,389,1.51,132,0.52,-1286,-5.00
15,2015-10-16,8.25,1.85,-830,-3.79,-22.45,-0.10,-807,-3.69,-1009,-4.61,1839,8.41
16,2015-10-15,8.10,4.25,1717,8.41,1110,5.44,607,2.98,-440,-2.15,-1278,-6.26
17,2015-10-14,7.77,-2.26,-1718,-12.32,-511,-3.67,-1207,-8.66,75.57,0.54,1643,11.78
18,2015-10-13,7.95,0.13,-1371,-9.04,-648,-4.28,-722,-4.77,470,3.10,901,5.94
19,2015-10-12,7.94,5.59,243,1.32,-198,-1.08,440,2.40,431,2.35,-673,-3.67
20,2015-10-09,7.52,4.30,1314,9.24,1041,7.32,274,1.92,-531,-3.74,-783,-5.50
21,2015-10-08,7.21,4.19,517,4.84,43.27,0.40,473,4.43,303,2.84,-820,-7.67
22,2015-09-30,6.92,2.22,937,13.94,640,9.52,298,4.43,-147,-2.18,-790,-11.76
23,2015-09-29,6.77,-2.03,-279,-5.84,0,0,-279,-5.84,-54.13,-1.13,333,6.97
24,2015-09-28,6.91,3.60,779,15.32,134,2.63,646,12.69,-20.51,-0.40,-759,-14.92
25,2015-09-25,6.67,-4.17,-509,-6.02,-217,-2.57,-292,-3.45,-455,-5.39,964,11.41
26,2015-09-24,6.96,2.50,192,2.31,56.72,0.68,135,1.63,344,4.14,-536,-6.45
27,2015-09-23,6.79,-2.86,-988,-11.37,239,2.75,-1228,-14.13,34.79,0.40,954,10.97
28,2015-09-22,6.99,1.45,-196,-1.71,-198,-1.73,2.47,0.02,280,2.44,-84.41,-0.74
29,2015-09-21,6.89,4.39,485,5.77,39.32,0.47,446,5.31,-77.66,-0.92,-407,-4.85
