,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,7.32,1.10,-324,-2.16,226,1.51,-550,-3.67,-40.99,-0.27,365,2.43
1,2015-11-05,7.24,-2.16,-1355,-6.88,-604,-3.07,-750,-3.81,39.33,0.20,1315,6.68
2,2015-11-04,7.40,3.06,821,3.07,-157,-0.59,978,3.65,-252,-0.94,-569,-2.12
3,2015-11-03,7.18,3.46,-194,-0.67,-310,-1.07,116,0.40,-81.87,-0.28,276,0.96
4,2015-11-02,6.94,3.43,54.39,0.36,-55.04,-0.37,109,0.73,29.21,0.20,-83.60,-0.56
5,2015-10-30,6.71,-2.04,-939,-7.68,-428,-3.50,-512,-4.18,90.17,0.74,849,6.94
6,2015-10-29,6.85,2.54,638,4.42,-230,-1.59,868,6.01,-221,-1.53,-417,-2.89
7,2015-10-28,6.68,-0.74,-1046,-5.72,179,0.98,-1226,-6.70,16.04,0.09,1030,5.63
8,2015-10-27,6.73,-0.59,-865,-6.24,194,1.40,-1058,-7.64,106,0.77,758,5.47
9,2015-10-26,6.77,3.36,527,2.54,938,4.52,-410,-1.98,-77.98,-0.38,-449,-2.17
10,2015-10-23,6.55,3.31,1711,12.14,469,3.33,1242,8.81,-309,-2.19,-1402,-9.95
11,2015-10-22,6.34,4.79,808,6.84,-98.61,-0.83,907,7.67,-327,-2.77,-481,-4.07
12,2015-10-21,6.05,-8.19,-1449,-5.82,-1505,-6.05,55.67,0.22,290,1.16,1159,4.66
13,2015-10-20,6.59,3.45,1021,6.24,1305,7.97,-284,-1.74,-295,-1.80,-726,-4.44
14,2015-10-19,6.37,-2.30,-1897,-13.73,-461,-3.34,-1436,-10.39,-310,-2.24,2207,15.97
15,2015-10-16,6.52,-0.15,-821,-5.39,374,2.46,-1195,-7.86,-569,-3.74,1389,9.13
16,2015-10-15,6.53,3.82,766,5.83,435,3.31,331,2.52,104,0.79,-869,-6.62
17,2015-10-14,6.29,-1.41,-189,-1.66,-241,-2.13,52.47,0.46,-129,-1.14,318,2.80
18,2015-10-13,6.38,0.63,-1246,-9.37,-462,-3.47,-784,-5.90,330,2.48,916,6.89
19,2015-10-12,6.34,5.67,789,6.40,199,1.62,589,4.78,113,0.92,-902,-7.31
20,2015-10-09,6.00,0.84,-366,-4.55,83.83,1.04,-450,-5.59,163,2.02,203,2.53
21,2015-10-08,5.95,4.75,1133,11.44,239,2.42,894,9.03,-77.20,-0.78,-1056,-10.66
22,2015-09-30,5.68,1.43,182,3.75,-196,-4.02,379,7.77,496,10.19,-679,-13.93
23,2015-09-29,5.60,-1.75,-50.01,-1.10,5031,0.01,-50.51,-1.11,-74.04,-1.63,124,2.73
24,2015-09-28,5.70,3.83,264,5.09,-120,-2.32,383,7.41,92.60,1.79,-356,-6.88
25,2015-09-25,5.49,-5.83,-1417,-14.60,-182,-1.88,-1234,-12.72,42.64,0.44,1374,14.16
26,2015-09-24,5.83,2.64,-16.84,-0.13,357,2.71,-374,-2.84,-133,-1.01,150,1.14
27,2015-09-23,5.68,1.07,156,1.42,-188,-1.71,345,3.12,-114,-1.04,-42.15,-0.38
28,2015-09-22,5.62,0.36,50.94,0.46,174,1.55,-123,-1.10,-155,-1.38,104,0.93
29,2015-09-21,5.60,3.13,306,3.78,-111,-1.37,417,5.15,226,2.79,-532,-6.57
