,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,10.79,2.66,11300.0,12.52,9125,10.14,2135,2.37,-5372,-5.97,-5887,-6.54
1,2015-11-05,10.51,-0.28,-4914,-6.20,-5150,-6.50,236,0.30,1813,2.29,3101,3.91
2,2015-11-04,10.54,4.36,7148,10.64,5383,8.01,1766,2.63,-1868,-2.78,-5280,-7.86
3,2015-11-03,10.10,-2.88,-10800.0,-18.64,-9614,-16.56,-1206,-2.08,2747,4.73,8074,13.91
4,2015-11-02,10.40,-0.76,-8809,-11.21,-7090,-9.03,-1719,-2.19,3083,3.93,5725,7.29
5,2015-10-30,10.48,0,-656,-0.92,-715,-1.00,59.83,0.08,23.41,0.03,632,0.89
6,2015-10-29,10.48,1.75,1425,2.31,568,0.92,858,1.39,-1398,-2.27,-27.10,-0.04
7,2015-10-28,10.30,-2.37,-8455,-10.22,-7548,-9.13,-906,-1.10,2497,3.02,5957,7.20
8,2015-10-27,10.55,-1.49,-11200.0,-12.25,-12600.0,-13.78,1397,1.53,4898,5.36,6305,6.89
9,2015-10-26,10.71,-1.65,-34000.0,-23.62,-31300.0,-21.75,-2688,-1.87,14500.0,10.07,19500.0,13.55
10,2015-10-23,10.89,10.00,24600.0,17.02,31400.0,21.74,-6831,-4.72,-12300.0,-8.51,-12300.0,-8.51
11,2015-10-22,9.90,5.54,4995,6.13,2735,3.36,2261,2.77,-2220,-2.73,-2775,-3.41
12,2015-10-21,9.38,-4.77,-4134,-3.41,-734,-0.61,-3400,-2.80,-1231,-1.02,5365,4.42
13,2015-10-20,9.85,1.34,159,0.25,-39.37,-0.06,199,0.31,469,0.74,-628,-0.99
14,2015-10-19,9.72,-2.02,-8021,-10.44,-3645,-4.75,-4376,-5.70,2736,3.56,5285,6.88
15,2015-10-16,9.92,0.81,-7367,-7.82,-4506,-4.78,-2860,-3.04,1812,1.92,5554,5.90
16,2015-10-15,9.84,1.23,-1284,-1.45,-962,-1.09,-322,-0.36,-173,-0.20,1457,1.65
17,2015-10-14,9.72,4.52,7850,8.38,5936,6.34,1915,2.04,-3705,-3.96,-4146,-4.43
18,2015-10-13,9.30,-0.64,-2921,-5.32,-1835,-3.34,-1087,-1.98,296,0.54,2625,4.78
19,2015-10-12,9.36,4.46,9496,11.10,5727,6.70,3769,4.41,-2604,-3.04,-6891,-8.06
20,2015-10-09,8.96,-0.78,-3028,-6.24,-1688,-3.48,-1339,-2.76,429,0.88,2599,5.35
21,2015-10-08,9.03,6.36,7055,11.30,4567,7.32,2487,3.98,-2098,-3.36,-4956,-7.94
22,2015-09-30,8.49,-1.62,-2800,-8.88,-1922,-6.10,-878,-2.79,523,1.66,2277,7.23
23,2015-09-29,8.63,1.05,-2270,-3.88,-1285,-2.20,-985,-1.69,40.11,0.07,2230,3.81
24,2015-09-28,8.54,0.35,-612,-1.63,-360,-0.96,-252,-0.67,295,0.79,317,0.84
25,2015-09-25,8.51,-8.49,-19300.0,-23.66,-12600.0,-15.42,-6729,-8.23,4510,5.52,14800.0,18.14
26,2015-09-24,9.30,1.42,909,1.35,431,0.64,478,0.71,-1132,-1.68,223,0.33
27,2015-09-23,9.17,-3.68,-15200.0,-16.00,-12700.0,-13.36,-2503,-2.64,4979,5.25,10200.0,10.75
28,2015-09-22,9.52,0.53,-16700.0,-9.72,-11500.0,-6.72,-5139,-3.00,3798,2.22,12900.0,7.51
29,2015-09-21,9.47,-6.61,-54700.0,-23.19,-31300.0,-13.25,-23500.0,-9.94,21400.0,9.09,33300.0,14.10
