,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,9.31,0.98,10600.0,5.18,10300.0,5.02,327,0.16,-5366,-2.62,-5248,-2.56
1,2015-11-05,9.22,2.22,14700.0,4.64,13100.0,4.15,1561,0.49,-5758,-1.82,-8905,-2.82
2,2015-11-04,9.02,4.04,3523,2.40,-1607,-1.09,5130,3.49,-1950,-1.33,-1573,-1.07
3,2015-11-03,8.67,-1.03,-6430,-7.99,-4035,-5.02,-2395,-2.98,2805,3.49,3625,4.51
4,2015-11-02,8.76,-2.01,-10500.0,-11.93,-7972,-9.02,-2570,-2.91,5351,6.05,5191,5.87
5,2015-10-30,8.94,-1.54,-11300.0,-9.29,-2823,-2.32,-8492,-6.97,3534,2.90,7781,6.39
6,2015-10-29,9.08,0.44,-3377,-3.95,-270,-0.32,-3106,-3.63,319,0.37,3058,3.57
7,2015-10-28,9.04,-1.85,-6722,-5.60,-3416,-2.84,-3306,-2.75,1721,1.43,5001,4.16
8,2015-10-27,9.21,-1.71,-7064,-5.35,-8738,-6.62,1674,1.27,3539,2.68,3525,2.67
9,2015-10-26,9.37,2.18,-11900.0,-5.26,-2291,-1.02,-9572,-4.25,7885,3.50,3979,1.77
10,2015-10-23,9.17,-0.43,-4405,-2.73,-11400.0,-7.04,6947,4.31,1938,1.20,2467,1.53
11,2015-10-22,9.21,1.66,-8772,-5.64,-2404,-1.54,-6368,-4.09,3316,2.13,5456,3.51
12,2015-10-21,9.06,-5.53,-8498,-3.60,-7391,-3.13,-1107,-0.47,1874,0.79,6624,2.80
13,2015-10-20,9.59,-1.24,-10000.0,-5.26,-11100.0,-5.86,1138,0.60,4521,2.38,5480,2.88
14,2015-10-19,9.71,3.19,-1284,-0.43,6327,2.10,-7611,-2.53,782,0.26,501,0.17
15,2015-10-16,9.41,0.64,-12700.0,-4.70,-18500.0,-6.82,5746,2.12,3231,1.19,9510,3.51
16,2015-10-15,9.35,3.43,4789,2.19,11100.0,5.07,-6296,-2.88,-3514,-1.61,-1274,-0.58
17,2015-10-14,9.04,-2.27,-6551,-4.40,-8784,-5.90,2233,1.50,2657,1.78,3894,2.61
18,2015-10-13,9.25,-0.96,-2079,-1.29,-5740,-3.56,3661,2.27,1994,1.24,84.80,0.05
19,2015-10-12,9.34,3.09,5945,2.11,3138,1.12,2807,1.00,-5187,-1.84,-758,-0.27
20,2015-10-09,9.06,-0.88,-1400,-0.86,-6172,-3.80,4772,2.94,1850,1.14,-451,-0.28
21,2015-10-08,9.14,3.39,11500.0,5.76,11800.0,5.91,-282,-0.14,-4111,-2.06,-7365,-3.70
22,2015-09-30,8.84,-0.56,-2245,-1.84,-4484,-3.67,2239,1.83,1706,1.40,539,0.44
23,2015-09-29,8.89,-0.67,-11600.0,-6.98,-7470,-4.49,-4136,-2.49,6228,3.74,5378,3.23
24,2015-09-28,8.95,-1.21,-1581,-0.78,-218,-0.11,-1363,-0.67,-1696,-0.83,3277,1.61
25,2015-09-25,9.06,-4.23,-54900.0,-14.37,-42100.0,-11.02,-12800.0,-3.35,21000.0,5.49,34000.0,8.89
26,2015-09-24,9.46,-3.07,-87500.0,-12.70,-63100.0,-9.16,-24400.0,-3.55,28900.0,4.19,58700.0,8.52
27,2015-09-23,9.76,-9.96,-43400.0,-32.33,-47900.0,-35.62,4429,3.30,17700.0,13.20,25700.0,19.12
28,2015-09-22,10.84,-9.97,-7277,-62.47,-6683,-57.37,-594,-5.10,2152,18.48,5125,44.00
29,2015-09-21,12.04,-10.01,-2806,-55.34,-2918,-57.55,112,2.21,877,17.30,1929,38.04
