,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,5.21,2.16,-398,-2.12,-130,-0.69,-267,-1.43,130,0.69,268,1.43
1,2015-11-05,5.10,-0.58,-1840,-7.94,-920,-3.97,-920,-3.97,784,3.39,1056,4.56
2,2015-11-04,5.13,5.77,2890,16.01,1521,8.42,1369,7.58,-380,-2.10,-2511,-13.90
3,2015-11-03,4.85,-1.02,-1428,-15.10,-218,-2.30,-1210,-12.80,241,2.55,1186,12.54
4,2015-11-02,4.90,2.51,1350,7.41,556,3.05,794,4.36,-721,-3.96,-629,-3.46
5,2015-10-30,4.78,-0.62,-40.90,-0.71,-26.39,-0.46,-14.52,-0.25,260,4.54,-220,-3.83
6,2015-10-29,4.81,0.84,267,5.42,0,0,267,5.42,-318,-6.44,50.31,1.02
7,2015-10-28,4.77,-1.24,-414,-4.98,75.19,0.91,-489,-5.89,283,3.41,130,1.57
8,2015-10-27,4.83,0,-297,-4.51,0,0,-297,-4.51,-76.51,-1.16,373,5.67
9,2015-10-26,4.83,0.84,188,2.40,-122,-1.56,310,3.96,-214,-2.73,25.74,0.33
10,2015-10-23,4.79,2.35,660,9.59,28.50,0.41,631,9.18,-204,-2.96,-456,-6.63
11,2015-10-22,4.68,3.31,134,2.40,0,0,134,2.40,-194,-3.47,59.90,1.07
12,2015-10-21,4.53,-7.55,-1126,-10.78,-122,-1.16,-1004,-9.62,23.17,0.22,1103,10.56
13,2015-10-20,4.90,0.41,-1314,-14.23,-2163,-23.42,849,9.19,679,7.35,635,6.88
14,2015-10-19,4.88,-2.20,-286,-2.39,210,1.76,-496,-4.15,-149,-1.25,435,3.64
15,2015-10-16,4.99,5.27,3034,13.70,2814,12.71,220,0.99,-876,-3.96,-2158,-9.74
16,2015-10-15,4.74,2.82,284,4.08,73.16,1.05,211,3.03,-9.42,-0.14,-274,-3.95
17,2015-10-14,4.61,-2.74,-185,-2.52,195,2.64,-380,-5.16,-154,-2.09,339,4.60
18,2015-10-13,4.74,0,126,1.38,348,3.81,-222,-2.43,-73.76,-0.81,-52.01,-0.57
19,2015-10-12,4.74,3.95,348,3.09,142,1.26,206,1.83,-511,-4.53,163,1.44
20,2015-10-09,4.56,1.56,-66.18,-0.84,-32.38,-0.41,-33.80,-0.43,160,2.02,-93.85,-1.19
21,2015-10-08,4.49,4.66,638,8.60,237,3.19,401,5.40,157,2.11,-795,-10.71
22,2015-09-30,4.29,2.14,317,11.01,375,13.00,-57.38,-1.99,-59.43,-2.06,-258,-8.95
23,2015-09-29,4.20,-3.67,-410,-12.19,-262,-7.79,-148,-4.39,-112,-3.33,522,15.51
24,2015-09-28,4.36,1.16,29.06,1.15,4.60,0.18,24.46,0.96,100,3.96,-130,-5.10
25,2015-09-25,4.31,-5.07,-517,-8.74,97.84,1.65,-615,-10.39,-61.79,-1.04,579,9.78
26,2015-09-24,4.54,3.18,414,5.51,252,3.36,161,2.15,-106,-1.41,-308,-4.10
27,2015-09-23,4.40,-2.22,143,2.52,4.79,0.08,138,2.44,-321,-5.67,178,3.14
28,2015-09-22,4.50,1.81,576,7.48,68.92,0.90,507,6.59,-356,-4.62,-220,-2.86
29,2015-09-21,4.42,2.79,144,3.27,0,0,144,3.27,-110,-2.50,-33.66,-0.76
