,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,6.43,1.10,-80.85,-0.41,57.88,0.29,-139,-0.70,430,2.16,-349,-1.76
1,2015-11-05,6.36,0.95,996,4.06,525,2.14,471,1.92,-102,-0.42,-895,-3.65
2,2015-11-04,6.30,5.88,4084,17.54,2858,12.28,1226,5.26,-651,-2.80,-3433,-14.74
3,2015-11-03,5.95,0.68,-11.93,-0.11,333,3.15,-345,-3.27,-313,-2.97,325,3.08
4,2015-11-02,5.91,-3.59,-1680,-16.40,-458,-4.47,-1222,-11.93,463,4.52,1218,11.88
5,2015-10-30,6.13,-0.49,599,4.24,499,3.53,99.70,0.71,135,0.95,-734,-5.19
6,2015-10-29,6.16,2.16,1591,9.19,1566,9.04,25.64,0.15,-255,-1.47,-1337,-7.72
7,2015-10-28,6.03,-2.58,-1475,-8.02,-163,-0.89,-1312,-7.13,-160,-0.87,1635,8.89
8,2015-10-27,6.19,-1.12,-1314,-6.45,-476,-2.34,-838,-4.12,-78.71,-0.39,1392,6.84
9,2015-10-26,6.26,-0.48,-9004,-26.45,-3420,-10.05,-5583,-16.40,1980,5.82,7023,20.63
10,2015-10-23,6.29,9.97,8569,21.35,7886,19.64,684,1.70,-4905,-12.22,-3664,-9.13
11,2015-10-22,5.72,3.06,-675,-5.15,516,3.94,-1190,-9.10,441,3.37,233,1.78
12,2015-10-21,5.55,-9.46,-3257,-15.36,-1868,-8.81,-1389,-6.55,322,1.52,2935,13.85
13,2015-10-20,6.13,2.17,2516,13.42,1374,7.33,1142,6.09,-1525,-8.14,-990,-5.28
14,2015-10-19,6.00,-1.80,-2467,-12.76,-2427,-12.56,-40.02,-0.21,794,4.11,1673,8.65
15,2015-10-16,6.11,1.50,869,3.88,-835,-3.73,1703,7.61,-980,-4.38,111,0.50
16,2015-10-15,6.02,2.73,272,1.61,398,2.35,-126,-0.74,651,3.85,-923,-5.46
17,2015-10-14,5.86,-3.14,-1020,-5.03,-133,-0.65,-887,-4.38,245,1.21,774,3.82
18,2015-10-13,6.05,5.03,3101,9.64,1806,5.61,1295,4.03,-1652,-5.14,-1448,-4.50
19,2015-10-12,5.76,4.54,1559,6.39,-41.37,-0.17,1601,6.55,-493,-2.02,-1066,-4.37
20,2015-10-09,5.51,1.85,1616,12.70,406,3.19,1211,9.51,-710,-5.58,-906,-7.12
21,2015-10-08,5.41,4.24,-663,-5.58,-937,-7.87,273,2.30,1207,10.15,-543,-4.57
22,2015-09-30,5.19,0.39,278,5.07,0,0,278,5.07,-179,-3.27,-98.74,-1.80
23,2015-09-29,5.17,-3.00,-683,-9.17,-104,-1.40,-579,-7.77,-20.07,-0.27,703,9.44
24,2015-09-28,5.33,1.52,-386,-4.72,-123,-1.50,-263,-3.22,527,6.44,-141,-1.72
25,2015-09-25,5.25,-6.08,-1631,-9.36,-420,-2.41,-1211,-6.95,28.13,0.16,1603,9.20
26,2015-09-24,5.59,3.33,1507,6.47,1092,4.69,415,1.78,-523,-2.25,-984,-4.23
27,2015-09-23,5.41,-4.59,-6419,-21.36,-2255,-7.50,-4164,-13.86,1350,4.49,5069,16.87
28,2015-09-22,5.67,10.10,6201,14.91,8179,19.66,-1978,-4.76,-2941,-7.07,-3260,-7.84
29,2015-09-21,5.15,3.41,1453,14.02,1472,14.21,-19.61,-0.19,-1082,-10.44,-371,-3.58
