,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,12.81,1.67,842,5.60,239,1.59,603,4.01,2.63,0.02,-845,-5.62
1,2015-11-05,12.60,0.40,-1946,-12.18,-906,-5.67,-1040,-6.51,845,5.29,1101,6.89
2,2015-11-04,12.55,5.02,1136,10.47,371,3.42,764,7.05,5.92,0.05,-1142,-10.53
3,2015-11-03,11.95,-0.75,-462,-4.70,426,4.34,-887,-9.04,-406,-4.13,867,8.84
4,2015-11-02,12.04,-5.79,-5383,-32.69,-3471,-21.08,-1912,-11.61,2137,12.97,3247,19.71
5,2015-10-30,12.78,2.90,-493,-3.20,-264,-1.71,-229,-1.49,1327,8.61,-834,-5.41
6,2015-10-29,12.42,0.08,34.43,0.83,0,0,34.43,0.83,-116,-2.78,81.51,1.96
7,2015-10-28,12.41,-2.44,-37.34,-0.49,61.09,0.81,-98.43,-1.30,106,1.40,-68.71,-0.91
8,2015-10-27,12.72,2.25,371,4.01,603,6.52,-232,-2.51,-239,-2.59,-132,-1.42
9,2015-10-26,12.44,-0.88,-386,-4.55,-137,-1.61,-250,-2.94,-158,-1.86,544,6.41
10,2015-10-23,12.55,1.46,-332,-2.95,-670,-5.95,338,3.00,438,3.89,-106,-0.94
11,2015-10-22,12.37,4.12,-936,-8.15,-400,-3.49,-536,-4.66,752,6.55,184,1.60
12,2015-10-21,11.88,-8.76,-1876,-11.77,-1349,-8.46,-527,-3.31,240,1.50,1636,10.27
13,2015-10-20,13.02,1.48,-8.97,-0.10,-50.32,-0.55,41.35,0.45,162,1.77,-153,-1.67
14,2015-10-19,12.83,5.86,4261,16.83,2245,8.87,2016,7.96,-1971,-7.78,-2290,-9.05
15,2015-10-16,12.12,-0.57,-1232,-9.60,-1168,-9.10,-64.10,-0.50,-314,-2.44,1546,12.04
16,2015-10-15,12.19,6.46,1343,7.82,1904,11.08,-561,-3.27,-928,-5.40,-415,-2.41
17,2015-10-14,11.45,-3.46,-846,-7.72,-11.76,-0.11,-835,-7.61,24.35,0.22,822,7.50
18,2015-10-13,11.86,10.02,3974,19.57,2321,11.43,1653,8.14,-1456,-7.17,-2518,-12.40
19,2015-10-12,10.78,10.00,4078,32.28,1389,10.99,2689,21.29,-1255,-9.93,-2823,-22.35
20,2015-10-09,9.80,0.10,176,3.78,13.56,0.29,163,3.49,-172,-3.68,-4.79,-0.10
21,2015-10-08,9.79,3.60,114,3.04,0,0,114,3.04,84.22,2.24,-199,-5.28
22,2015-09-30,9.45,2.27,276,9.53,0,0,276,9.53,-32.93,-1.14,-243,-8.40
23,2015-09-29,9.24,-4.15,-341,-8.95,0,0,-341,-8.95,-155,-4.07,496,13.02
24,2015-09-28,9.64,-2.03,-88.75,-1.62,0,0,-88.75,-1.62,-664,-12.10,753,13.72
25,2015-09-25,9.84,-0.30,-149,-1.51,-127,-1.28,-22.57,-0.23,-292,-2.96,441,4.47
26,2015-09-24,9.87,1.13,267,5.87,0,0,267,5.87,-182,-4.00,-85.06,-1.87
27,2015-09-23,9.76,-2.30,267,4.00,151,2.26,116,1.74,-545,-8.16,278,4.16
28,2015-09-22,9.99,2.46,775,9.87,639,8.14,136,1.74,-265,-3.38,-510,-6.50
29,2015-09-21,9.75,4.61,573,8.59,21.09,0.32,552,8.27,-158,-2.37,-415,-6.22
