,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,10.20,2.00,77.70,0.33,-1814,-7.76,1892,8.09,12.92,0.06,-90.62,-0.39
1,2015-11-05,10.00,-1.38,-3426,-8.54,-324,-0.81,-3101,-7.73,1340,3.34,2086,5.20
2,2015-11-04,10.14,4.21,1024,3.90,877,3.34,146,0.56,85.64,0.33,-1109,-4.22
3,2015-11-03,9.73,-5.17,-3562,-16.06,-2482,-11.19,-1080,-4.87,1192,5.37,2370,10.68
4,2015-11-02,10.26,0.69,-1311,-4.58,-914,-3.19,-397,-1.39,925,3.23,386,1.35
5,2015-10-30,10.19,-0.49,536,2.83,556,2.93,-19.35,-0.10,-216,-1.14,-320,-1.69
6,2015-10-29,10.24,0.69,436,2.13,-606,-2.96,1043,5.09,413,2.02,-849,-4.15
7,2015-10-28,10.17,3.35,1298,3.50,114,0.31,1185,3.19,-1283,-3.46,-15.27,-0.04
8,2015-10-27,9.84,1.55,-743,-3.64,-207,-1.01,-536,-2.63,1.23,0.01,741,3.64
9,2015-10-26,9.69,-1.32,-2570,-12.13,-198,-0.93,-2372,-11.19,612,2.89,1958,9.24
10,2015-10-23,9.82,3.92,-522,-2.24,-303,-1.30,-219,-0.94,1073,4.60,-551,-2.36
11,2015-10-22,9.45,3.96,-821,-4.69,-317,-1.81,-503,-2.88,938,5.36,-118,-0.67
12,2015-10-21,9.09,-9.37,-2277,-8.89,39.09,0.15,-2317,-9.04,493,1.92,1784,6.96
13,2015-10-20,10.03,-2.53,-1073,-4.44,-38.94,-0.16,-1034,-4.27,24.20,0.10,1048,4.33
14,2015-10-19,10.29,5.00,-4414,-8.68,-1645,-3.23,-2769,-5.44,1080,2.12,3333,6.55
15,2015-10-16,9.80,9.99,1761,3.85,2955,6.46,-1194,-2.61,-1928,-4.21,167,0.36
16,2015-10-15,8.91,2.53,-213,-1.79,169,1.42,-382,-3.21,360,3.03,-147,-1.24
17,2015-10-14,8.69,-2.14,-1008,-10.30,-314,-3.21,-693,-7.08,73.78,0.75,934,9.54
18,2015-10-13,8.88,0.11,-264,-2.48,-25.30,-0.24,-239,-2.24,-43.46,-0.41,307,2.89
19,2015-10-12,8.87,4.35,642,4.45,103,0.71,540,3.74,-164,-1.13,-479,-3.32
20,2015-10-09,8.50,1.55,709,9.06,143,1.83,565,7.23,-392,-5.02,-316,-4.04
21,2015-10-08,8.37,3.72,557,6.70,-111,-1.34,668,8.03,-75.38,-0.91,-481,-5.79
22,2015-09-30,8.07,0.12,-197,-6.18,0,0,-197,-6.18,-223,-6.97,420,13.14
23,2015-09-29,8.06,-3.36,-605,-12.91,0,0,-605,-12.91,-21.14,-0.45,626,13.36
24,2015-09-28,8.34,0,-48.69,-1.31,0,0,-48.69,-1.31,-110,-2.96,159,4.27
25,2015-09-25,8.34,0.12,649,7.63,400,4.70,249,2.92,-382,-4.50,-266,-3.13
26,2015-09-24,8.33,0.73,158,3.70,31.87,0.74,126,2.95,-200,-4.68,41.90,0.98
27,2015-09-23,8.27,-3.27,-663,-10.23,-191,-2.95,-472,-7.28,257,3.96,406,6.26
28,2015-09-22,8.55,-0.12,-28.45,-0.32,168,1.88,-196,-2.20,31.04,0.35,-2.59,-0.03
29,2015-09-21,8.56,1.06,-723,-7.90,-276,-3.02,-447,-4.88,394,4.30,329,3.60
