,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,9.80,1.24,19.18,0.14,97.69,0.69,-78.52,-0.56,70.96,0.50,-90.14,-0.64
1,2015-11-05,9.68,1.15,282,1.58,329,1.84,-46.78,-0.26,375,2.10,-657,-3.68
2,2015-11-04,9.57,5.28,557,3.92,-148,-1.05,706,4.97,-520,-3.66,-36.99,-0.26
3,2015-11-03,9.09,-1.73,-1660,-18.69,-45.63,-0.51,-1615,-18.17,343,3.86,1317,14.82
4,2015-11-02,9.25,-4.93,-754,-6.27,-503,-4.18,-252,-2.09,-271,-2.25,1025,8.51
5,2015-10-30,9.73,-2.70,-432,-3.47,-222,-1.78,-210,-1.69,-469,-3.77,901,7.25
6,2015-10-29,10.00,-1.09,78.13,0.42,137,0.74,-58.87,-0.32,-554,-3.00,476,2.58
7,2015-10-28,10.11,2.22,2153,9.93,959,4.42,1194,5.51,-454,-2.09,-1699,-7.83
8,2015-10-27,9.89,-0.50,-1244,-7.12,-416,-2.38,-828,-4.74,779,4.46,465,2.66
9,2015-10-26,9.94,-1.09,-948,-4.26,-893,-4.01,-55.32,-0.25,-81.32,-0.37,1029,4.62
10,2015-10-23,10.05,7.03,-2085,-5.47,-690,-1.81,-1395,-3.66,-273,-0.72,2358,6.19
11,2015-10-22,9.39,3.87,-248,-1.30,-228,-1.20,-19.88,-0.10,754,3.96,-505,-2.66
12,2015-10-21,9.04,-9.96,-2833,-10.02,-2281,-8.07,-552,-1.95,97.67,0.35,2736,9.67
13,2015-10-20,10.04,0.10,-6798,-16.40,-3505,-8.46,-3293,-7.94,1168,2.82,5630,13.58
14,2015-10-19,10.03,9.98,3112,8.15,3391,8.88,-280,-0.73,-1725,-4.52,-1387,-3.63
15,2015-10-16,9.12,1.56,-8.66,-0.04,-964,-4.55,955,4.51,-251,-1.18,259,1.22
16,2015-10-15,8.98,3.94,-611,-3.82,-133,-0.83,-478,-2.99,228,1.42,383,2.39
17,2015-10-14,8.64,-4.21,-847,-7.87,-234,-2.18,-613,-5.70,320,2.98,527,4.90
18,2015-10-13,9.02,0.78,45.56,0.31,-496,-3.37,542,3.68,402,2.73,-448,-3.04
19,2015-10-12,8.95,4.31,-343,-1.77,365,1.88,-708,-3.65,639,3.29,-295,-1.52
20,2015-10-09,8.58,1.18,-61.36,-0.68,-80.57,-0.90,19.21,0.21,328,3.65,-267,-2.97
21,2015-10-08,8.48,3.92,462,4.80,2253,0,462,4.80,13.00,0.14,-475,-4.94
22,2015-09-30,8.16,0.49,-485,-7.19,-208,-3.08,-278,-4.11,-37.30,-0.55,523,7.74
23,2015-09-29,8.12,-5.14,-1623,-16.90,-508,-5.29,-1115,-11.61,644,6.71,979,10.19
24,2015-09-28,8.56,-0.93,-606,-4.92,-180,-1.46,-425,-3.45,151,1.23,455,3.69
25,2015-09-25,8.64,-0.12,496,2.52,874,4.44,-378,-1.92,-393,-2.00,-102,-0.52
26,2015-09-24,8.65,0.58,-3831,-14.35,-892,-3.34,-2939,-11.01,438,1.64,3393,12.72
27,2015-09-23,8.60,9.97,4194,15.40,3406,12.51,787,2.89,-1899,-6.98,-2294,-8.43
28,2015-09-22,7.82,0.39,89.68,1.40,-8.84,-0.14,98.52,1.54,-290,-4.54,200,3.13
29,2015-09-21,7.79,3.59,310,5.82,93.94,1.76,216,4.06,-203,-3.82,-106,-2.00
