,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,8.78,1.97,-9736,-9.76,-8941,-8.96,-795,-0.80,3521,3.53,6215,6.23
1,2015-11-05,8.61,2.38,13700.0,13.90,12500.0,12.68,1202,1.22,-7045,-7.13,-6684,-6.77
2,2015-11-04,8.41,4.47,6533,12.04,7215,13.29,-682,-1.26,-2917,-5.38,-3615,-6.66
3,2015-11-03,8.05,0.25,-1378,-7.13,-1517,-7.84,139,0.72,281,1.45,1098,5.68
4,2015-11-02,8.03,-1.71,-1695,-5.70,-494,-1.66,-1200,-4.04,-701,-2.36,2396,8.06
5,2015-10-30,8.17,-1.09,-2851,-8.06,-2973,-8.41,122,0.35,1350,3.82,1500,4.24
6,2015-10-29,8.26,1.60,-2099,-4.18,473,0.94,-2572,-5.12,537,1.07,1562,3.11
7,2015-10-28,8.13,-3.56,-6644,-17.16,-4784,-12.36,-1860,-4.80,2960,7.64,3684,9.52
8,2015-10-27,8.43,-1.52,-5275,-9.93,-4521,-8.51,-754,-1.42,1542,2.90,3733,7.02
9,2015-10-26,8.56,-0.23,-3149,-4.26,-4516,-6.10,1367,1.85,535,0.72,2614,3.53
10,2015-10-23,8.58,3.00,1805,2.27,-228,-0.29,2033,2.55,-916,-1.15,-888,-1.12
11,2015-10-22,8.33,3.35,-3133,-4.91,-1653,-2.59,-1480,-2.32,1569,2.46,1564,2.45
12,2015-10-21,8.06,-3.24,-9613,-8.51,-537,-0.48,-9076,-8.04,1836,1.63,7778,6.89
13,2015-10-20,8.33,1.34,-4996,-8.42,-1864,-3.14,-3132,-5.28,2386,4.02,2611,4.40
14,2015-10-19,8.22,0.86,-11500.0,-12.84,-4487,-5.00,-7029,-7.84,4814,5.37,6702,7.47
15,2015-10-16,8.15,4.76,7980,7.67,10700.0,10.26,-2689,-2.59,-4473,-4.30,-3507,-3.37
16,2015-10-15,7.78,2.10,-1467,-3.15,-3756,-8.07,2289,4.92,1421,3.05,45.83,0.10
17,2015-10-14,7.62,-0.91,264,0.78,-1642,-4.83,1906,5.60,-630,-1.85,366,1.08
18,2015-10-13,7.69,-0.77,229,0.64,461,1.28,-232,-0.64,-938,-2.61,708,1.97
19,2015-10-12,7.75,5.16,3068,3.99,-1933,-2.52,5001,6.51,638,0.83,-3706,-4.83
20,2015-10-09,7.37,0.55,331,1.06,1449,4.66,-1118,-3.60,-602,-1.94,271,0.87
21,2015-10-08,7.33,3.09,3634,13.26,2915,10.63,719,2.62,-1610,-5.87,-2024,-7.38
22,2015-09-30,7.11,1.57,1656,7.87,1220,5.80,435,2.07,-279,-1.33,-1377,-6.55
23,2015-09-29,7.00,-2.78,-5128,-25.08,-2165,-10.59,-2963,-14.49,1323,6.47,3805,18.61
24,2015-09-28,7.20,0.56,-1104,-8.29,-396,-2.97,-708,-5.32,473,3.55,631,4.74
25,2015-09-25,7.16,-1.65,322,1.16,2354,8.53,-2033,-7.36,-1112,-4.03,790,2.86
26,2015-09-24,7.28,0.41,-516,-2.70,-369,-1.93,-146,-0.77,937,4.91,-421,-2.21
27,2015-09-23,7.25,-3.97,-6161,-22.68,-4237,-15.60,-1924,-7.08,2701,9.94,3460,12.74
28,2015-09-22,7.55,-0.13,-3038,-9.61,-1937,-6.12,-1101,-3.48,1904,6.02,1134,3.59
29,2015-09-21,7.56,3.00,2354,9.29,1889,7.46,464,1.83,-769,-3.04,-1584,-6.25
