,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,10.21,2.41,770,5.09,5.97,0.04,764,5.05,-128,-0.84,-643,-4.25
1,2015-11-05,9.97,-0.40,-952,-6.46,-437,-2.96,-515,-3.50,92.47,0.63,859,5.83
2,2015-11-04,10.01,5.81,450,3.20,-174,-1.24,624,4.44,790,5.62,-1239,-8.82
3,2015-11-03,9.46,-1.15,-823,-9.69,-11.38,-0.13,-812,-9.55,50.71,0.60,773,9.09
4,2015-11-02,9.57,-5.71,-4908,-27.43,-1875,-10.48,-3033,-16.95,1658,9.27,3250,18.17
5,2015-10-30,10.15,3.89,-642,-2.09,1546,5.02,-2188,-7.11,-265,-0.86,908,2.95
6,2015-10-29,9.77,1.88,186,2.32,306,3.82,-120,-1.50,-211,-2.63,25.24,0.31
7,2015-10-28,9.59,-4.48,-2233,-20.37,-191,-1.75,-2042,-18.63,59.05,0.54,2174,19.83
8,2015-10-27,10.04,-1.08,-746,-5.24,33.12,0.23,-779,-5.47,-142,-1.00,888,6.24
9,2015-10-26,10.15,3.78,2209,11.10,71.15,0.36,2137,10.74,-1248,-6.27,-960,-4.83
10,2015-10-23,9.78,2.95,772,4.93,415,2.65,357,2.28,-839,-5.36,67.23,0.43
11,2015-10-22,9.50,4.97,-20.26,-0.21,116,1.19,-137,-1.40,-81.94,-0.84,102,1.05
12,2015-10-21,9.05,-9.86,-861,-5.64,-286,-1.87,-575,-3.76,-955,-6.26,1816,11.90
13,2015-10-20,10.04,4.91,1621,10.38,1049,6.72,572,3.67,-535,-3.43,-1086,-6.96
14,2015-10-19,9.57,-1.64,-210,-1.80,266,2.28,-476,-4.08,-541,-4.64,751,6.44
15,2015-10-16,9.73,1.88,834,5.27,481,3.04,352,2.23,-374,-2.36,-460,-2.91
16,2015-10-15,9.55,3.02,320,2.92,469,4.28,-149,-1.36,-286,-2.61,-34.42,-0.31
17,2015-10-14,9.27,-2.73,-964,-11.14,-89.48,-1.03,-874,-10.10,-134,-1.55,1098,12.68
18,2015-10-13,9.53,-0.63,-152,-1.29,-136,-1.16,-15.54,-0.13,-243,-2.06,394,3.35
19,2015-10-12,9.59,4.81,25.30,0.16,189,1.22,-164,-1.06,437,2.83,-462,-3.00
20,2015-10-09,9.15,1.33,-3791,-24.47,-1624,-10.48,-2168,-13.99,1418,9.15,2373,15.32
21,2015-10-08,9.03,9.99,3424,25.16,3447,25.33,-23.28,-0.17,-1374,-10.10,-2049,-15.06
22,2015-09-30,8.21,0.12,-18.06,-0.64,0,0,-18.06,-0.64,-184,-6.56,202,7.20
23,2015-09-29,8.20,-2.73,-160,-4.37,0,0,-160,-4.37,-327,-8.93,487,13.31
24,2015-09-28,8.43,3.95,207,5.51,0,0,207,5.51,-6693,-0.02,-206,-5.49
25,2015-09-25,8.11,-4.81,-429,-7.99,0,0,-429,-7.99,-187,-3.49,617,11.49
26,2015-09-24,8.52,2.16,81.90,1.28,0,0,81.90,1.28,-225,-3.51,143,2.23
27,2015-09-23,8.34,-1.53,-447,-7.22,103,1.66,-550,-8.88,-164,-2.64,611,9.86
28,2015-09-22,8.47,-0.12,-520,-5.48,142,1.49,-662,-6.97,28.31,0.30,492,5.18
29,2015-09-21,8.48,4.31,-239,-3.13,-210,-2.75,-28.91,-0.38,417,5.47,-178,-2.34
