,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,7.12,1.71,-2087,-5.60,-1022,-2.74,-1066,-2.86,973,2.61,1114,2.99
1,2015-11-05,7.00,-0.43,-2079,-7.57,-293,-1.07,-1786,-6.50,-260,-0.94,2339,8.51
2,2015-11-04,7.03,5.56,2170,9.01,1087,4.51,1083,4.49,2.48,0.01,-2173,-9.02
3,2015-11-03,6.66,0.45,25.94,0.33,-253,-3.20,279,3.53,-119,-1.50,92.95,1.17
4,2015-11-02,6.63,-1.49,-622,-5.11,-85.87,-0.71,-536,-4.41,-534,-4.39,1155,9.50
5,2015-10-30,6.73,-1.46,-1522,-12.46,-598,-4.90,-923,-7.56,128,1.05,1394,11.41
6,2015-10-29,6.83,-0.58,-919,-6.07,-537,-3.54,-383,-2.53,-163,-1.07,1082,7.15
7,2015-10-28,6.87,-3.92,-3028,-12.28,-1166,-4.73,-1862,-7.56,350,1.42,2678,10.86
8,2015-10-27,7.15,4.38,-1326,-3.39,333,0.85,-1659,-4.24,-153,-0.39,1479,3.78
9,2015-10-26,6.85,-0.44,-1026,-5.91,94.91,0.55,-1121,-6.45,-174,-1.00,1200,6.91
10,2015-10-23,6.88,3.15,-632,-3.27,-418,-2.16,-213,-1.10,567,2.93,65.04,0.34
11,2015-10-22,6.67,3.57,-761,-4.69,351,2.16,-1112,-6.86,278,1.72,483,2.98
12,2015-10-21,6.44,-9.17,-1077,-4.04,-682,-2.56,-395,-1.48,-1355,-5.09,2432,9.13
13,2015-10-20,7.09,3.50,2177,9.72,899,4.01,1279,5.71,-824,-3.68,-1353,-6.04
14,2015-10-19,6.85,-2.70,-1334,-5.82,-314,-1.37,-1020,-4.45,-775,-3.38,2110,9.20
15,2015-10-16,7.04,-1.68,-4115,-12.04,-1180,-3.45,-2935,-8.59,-273,-0.80,4388,12.84
16,2015-10-15,7.16,5.45,-2939,-8.38,-1144,-3.26,-1795,-5.12,1186,3.38,1753,5.00
17,2015-10-14,6.79,1.19,2158,7.19,2367,7.88,-209,-0.70,-856,-2.85,-1302,-4.33
18,2015-10-13,6.71,1.67,-527,-2.42,-80.16,-0.37,-447,-2.06,-355,-1.63,882,4.06
19,2015-10-12,6.60,7.49,2775,10.85,1146,4.48,1630,6.37,-993,-3.88,-1782,-6.97
20,2015-10-09,6.14,0.99,1108,12.85,143,1.65,966,11.19,-572,-6.63,-536,-6.22
21,2015-10-08,6.08,3.58,173,1.84,193,2.05,-20.04,-0.21,-414,-4.39,241,2.55
22,2015-09-30,5.87,0.34,-86.43,-1.96,0,0,-86.43,-1.96,-189,-4.30,276,6.26
23,2015-09-29,5.85,0.17,174,3.14,-17.70,-0.32,192,3.46,213,3.85,-387,-6.99
24,2015-09-28,5.84,3.00,651,14.90,150,3.43,501,11.47,-16.89,-0.39,-634,-14.52
25,2015-09-25,5.67,-4.22,-176,-2.68,-103,-1.58,-72.38,-1.11,-247,-3.77,422,6.45
26,2015-09-24,5.92,1.20,15.83,0.25,127,2.01,-111,-1.76,28.39,0.45,-44.22,-0.70
27,2015-09-23,5.85,-2.01,-778,-7.69,-433,-4.28,-344,-3.41,71.53,0.71,706,6.98
28,2015-09-22,5.97,3.47,629,5.01,313,2.49,316,2.52,50.58,0.40,-680,-5.42
29,2015-09-21,5.77,3.59,963,11.85,228,2.81,735,9.04,-220,-2.71,-743,-9.15
