,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,8.89,1.48,2803,7.71,5037,13.86,-2234,-6.15,-1502,-4.13,-1300,-3.58
1,2015-11-05,8.76,2.34,719,1.83,765,1.94,-45.34,-0.12,391,0.99,-1111,-2.82
2,2015-11-04,8.56,4.26,2232,11.15,1968,9.83,264,1.32,-1743,-8.71,-489,-2.44
3,2015-11-03,8.21,-1.08,-1450,-11.02,133,1.01,-1584,-12.03,-22.24,-0.17,1473,11.19
4,2015-11-02,8.30,-0.48,422,2.88,874,5.97,-452,-3.08,-295,-2.02,-127,-0.86
5,2015-10-30,8.34,-1.30,-1589,-11.93,-367,-2.75,-1222,-9.18,859,6.46,729,5.48
6,2015-10-29,8.45,1.56,-23.86,-0.18,373,2.74,-397,-2.92,328,2.42,-305,-2.24
7,2015-10-28,8.32,-3.26,-2853,-16.20,-1564,-8.88,-1289,-7.32,1502,8.53,1351,7.67
8,2015-10-27,8.60,-2.05,-3758,-16.79,-2170,-9.70,-1588,-7.10,2137,9.55,1621,7.24
9,2015-10-26,8.78,0,-4388,-9.86,-3586,-8.06,-803,-1.80,2169,4.87,2220,4.99
10,2015-10-23,8.78,6.30,6210,17.20,5824,16.14,386,1.07,-3137,-8.69,-3073,-8.51
11,2015-10-22,8.26,2.48,-400,-2.45,-452,-2.76,51.99,0.32,378,2.31,22.66,0.14
12,2015-10-21,8.06,-5.84,476,1.60,532,1.79,-55.56,-0.19,-498,-1.68,21.63,0.07
13,2015-10-20,8.56,2.15,-2495,-8.84,-650,-2.30,-1844,-6.53,1104,3.91,1391,4.93
14,2015-10-19,8.38,-1.76,-954,-4.12,-440,-1.90,-514,-2.22,71.52,0.31,883,3.81
15,2015-10-16,8.53,3.27,3709,10.90,2964,8.71,745,2.19,-1296,-3.81,-2413,-7.09
16,2015-10-15,8.26,4.03,3753,17.34,3635,16.80,117,0.54,-1845,-8.53,-1907,-8.81
17,2015-10-14,7.94,-3.41,-4101,-20.13,-2105,-10.33,-1996,-9.80,1554,7.63,2547,12.51
18,2015-10-13,8.22,0.24,-511,-2.37,-682,-3.17,171,0.79,226,1.05,286,1.33
19,2015-10-12,8.20,4.59,2717,10.03,1579,5.83,1138,4.20,-852,-3.15,-1865,-6.88
20,2015-10-09,7.84,1.16,1073,6.96,294,1.90,780,5.05,-102,-0.66,-971,-6.30
21,2015-10-08,7.75,3.47,88.69,0.55,20.53,0.13,68.16,0.43,1338,8.38,-1427,-8.93
22,2015-09-30,7.49,2.04,1526,14.80,1024,9.93,503,4.87,-1023,-9.92,-503,-4.88
23,2015-09-29,7.34,-3.93,-2092,-19.87,-742,-7.05,-1350,-12.83,423,4.02,1669,15.86
24,2015-09-28,7.64,-0.65,-535,-6.17,-5.46,-0.06,-530,-6.11,-204,-2.35,739,8.52
25,2015-09-25,7.69,0.39,-1014,-5.61,2.69,0.01,-1017,-5.62,-279,-1.54,1294,7.15
26,2015-09-24,7.66,1.46,291,2.54,-206,-1.79,497,4.33,-445,-3.87,154,1.34
27,2015-09-23,7.55,-3.58,-1068,-9.14,-141,-1.20,-927,-7.93,-175,-1.50,1243,10.63
28,2015-09-22,7.83,1.42,294,2.29,120,0.93,175,1.36,249,1.94,-544,-4.22
29,2015-09-21,7.72,1.98,15.91,0.16,242,2.45,-226,-2.29,-126,-1.27,110,1.11
