,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,11.50,1.14,-254,-5.53,14.81,0.32,-268,-5.86,154,3.36,99.66,2.17
1,2015-11-05,11.37,-1.39,-505,-11.04,-2.96,-0.06,-502,-10.98,234,5.12,271,5.92
2,2015-11-04,11.53,1.86,-14.43,-0.27,-114,-2.13,99.97,1.86,-76.58,-1.43,91.01,1.70
3,2015-11-03,11.32,2.17,-197,-4.19,0,0,-197,-4.19,246,5.22,-48.49,-1.03
4,2015-11-02,11.08,1.00,-188,-3.37,142,2.54,-331,-5.92,-112,-2.01,301,5.38
5,2015-10-30,10.97,2.52,209,4.26,0,0,209,4.26,-191,-3.89,-18.14,-0.37
6,2015-10-29,10.70,2.39,46.09,1.30,78.67,2.22,-32.58,-0.92,-83.96,-2.37,37.86,1.07
7,2015-10-28,10.45,-2.70,-174,-3.32,-434,-8.27,260,4.95,39.31,0.75,135,2.57
8,2015-10-27,10.74,1.70,-267,-3.98,-105,-1.57,-162,-2.41,175,2.62,91.61,1.37
9,2015-10-26,10.56,2.62,-201,-4.02,-139,-2.79,-61.23,-1.23,173,3.47,27.49,0.55
10,2015-10-23,10.29,1.48,-310,-5.32,-141,-2.41,-169,-2.90,210,3.60,100,1.72
11,2015-10-22,10.14,3.47,80.78,1.65,83.76,1.71,-2.99,-0.06,-42.47,-0.87,-38.30,-0.78
12,2015-10-21,9.80,-5.04,-704,-9.49,-476,-6.42,-228,-3.07,357,4.81,347,4.68
13,2015-10-20,10.32,1.57,-462,-9.40,-219,-4.45,-243,-4.95,374,7.62,87.30,1.78
14,2015-10-19,10.16,0.79,13.16,0.22,-311,-5.21,324,5.43,-100,-1.68,86.98,1.46
15,2015-10-16,10.08,1.31,-260,-5.35,11.88,0.24,-272,-5.59,270,5.56,-10.20,-0.21
16,2015-10-15,9.95,2.37,218,6.47,0,0,218,6.47,-185,-5.48,-33.27,-0.99
17,2015-10-14,9.72,-1.82,-293,-7.22,-109,-2.67,-184,-4.54,40.81,1.01,252,6.21
18,2015-10-13,9.90,3.34,189,4.43,170,3.99,18.53,0.43,-15.88,-0.37,-173,-4.06
19,2015-10-12,9.58,3.90,-199,-5.33,0,0,-199,-5.33,221,5.92,-22.20,-0.60
20,2015-10-09,9.22,2.33,171,6.38,0,0,171,6.38,-45.79,-1.71,-125,-4.67
21,2015-10-08,9.01,1.46,-230,-7.53,0,0,-230,-7.53,527,17.28,-297,-9.75
22,2015-09-30,8.88,0.57,-17.24,-2.13,0,0,-17.24,-2.13,40.99,5.07,-23.75,-2.94
23,2015-09-29,8.83,-1.78,2.13,0.20,0,0,2.13,0.20,15.48,1.46,-17.61,-1.66
24,2015-09-28,8.99,0.56,-132,-8.53,0,0,-132,-8.53,289,18.67,-157,-10.14
25,2015-09-25,8.94,-4.99,-494,-19.70,130,5.18,-624,-24.88,80.86,3.23,413,16.48
26,2015-09-24,9.41,1.73,176,6.67,0,0,176,6.67,-215,-8.17,39.51,1.50
27,2015-09-23,9.25,-0.75,-103,-2.97,0,0,-103,-2.97,115,3.34,-12.80,-0.37
28,2015-09-22,9.32,3.79,284,6.29,-229,-5.07,512,11.36,-101,-2.24,-182,-4.04
29,2015-09-21,8.98,2.28,189,12.86,0,0,189,12.86,-140,-9.52,-49.20,-3.34
