,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,5.16,0.78,-164,-0.62,518,1.96,-682,-2.58,17.72,0.07,146,0.55
1,2015-11-05,5.12,0.79,1613,5.15,1459,4.66,154,0.49,-525,-1.68,-1088,-3.47
2,2015-11-04,5.08,3.25,1214,7.13,448,2.63,766,4.50,-954,-5.60,-260,-1.53
3,2015-11-03,4.92,-1.80,-614,-4.69,145,1.11,-760,-5.80,-257,-1.96,871,6.65
4,2015-11-02,5.01,-1.38,-3374,-16.81,-1019,-5.08,-2356,-11.74,784,3.91,2590,12.91
5,2015-10-30,5.08,-1.36,-1107,-6.61,-30.83,-0.18,-1076,-6.43,-72.59,-0.43,1179,7.04
6,2015-10-29,5.15,1.18,383,1.94,364,1.85,19.36,0.10,-158,-0.80,-226,-1.14
7,2015-10-28,5.09,-0.59,-64.46,-0.24,1264,4.70,-1328,-4.94,-454,-1.69,519,1.93
8,2015-10-27,5.12,-1.92,-3484,-14.38,-2025,-8.36,-1459,-6.02,616,2.54,2868,11.84
9,2015-10-26,5.22,3.78,1713,4.21,2445,6.01,-732,-1.80,-1435,-3.53,-278,-0.68
10,2015-10-23,5.03,1.41,835,4.55,522,2.84,314,1.71,-539,-2.93,-297,-1.61
11,2015-10-22,4.96,3.33,-284,-1.62,514,2.94,-798,-4.56,93.20,0.53,191,1.09
12,2015-10-21,4.80,-7.87,-7238,-24.01,-3820,-12.67,-3418,-11.34,2893,9.60,4345,14.41
13,2015-10-20,5.21,2.16,3234,9.54,3077,9.08,157,0.46,-1815,-5.36,-1419,-4.19
14,2015-10-19,5.10,0.20,-135,-0.43,-254,-0.82,120,0.39,-963,-3.09,1098,3.53
15,2015-10-16,5.09,1.19,346,1.31,1833,6.92,-1487,-5.61,-509,-1.92,163,0.62
16,2015-10-15,5.03,2.03,493,3.20,630,4.09,-137,-0.89,-722,-4.68,229,1.49
17,2015-10-14,4.93,-3.52,-2651,-13.04,-1197,-5.89,-1454,-7.15,916,4.51,1734,8.53
18,2015-10-13,5.11,3.02,1430,4.50,1664,5.23,-234,-0.74,-1551,-4.88,121,0.38
19,2015-10-12,4.96,2.69,-59.17,-0.22,873,3.27,-933,-3.49,-96.19,-0.36,155,0.58
20,2015-10-09,4.83,0,-120,-0.72,384,2.30,-505,-3.02,-589,-3.53,710,4.25
21,2015-10-08,4.83,4.77,87.48,0.54,326,2.00,-238,-1.46,22.31,0.14,-110,-0.67
22,2015-09-30,4.61,0.66,739,13.41,379,6.88,360,6.53,-364,-6.61,-374,-6.80
23,2015-09-29,4.58,-3.38,-756,-10.94,0,0,-756,-10.94,-40.27,-0.58,796,11.52
24,2015-09-28,4.74,1.72,46.71,0.61,-33.61,-0.44,80.31,1.05,-299,-3.89,252,3.29
25,2015-09-25,4.66,-3.92,-662,-5.42,-384,-3.15,-278,-2.28,-421,-3.45,1083,8.88
26,2015-09-24,4.85,3.41,459,2.48,256,1.38,204,1.10,-414,-2.24,-45.14,-0.24
27,2015-09-23,4.69,-3.10,-1154,-11.36,-435,-4.28,-719,-7.07,-48.82,-0.48,1203,11.84
28,2015-09-22,4.84,0.41,277,1.94,47.72,0.33,229,1.61,-577,-4.05,300,2.11
29,2015-09-21,4.82,1.26,-290,-2.15,49.63,0.37,-339,-2.52,-485,-3.60,774,5.74
