,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,11.55,4.71,1830,7.88,1306,5.62,524,2.26,-849,-3.66,-980,-4.22
1,2015-11-05,11.03,0.46,-99.39,-0.48,-794,-3.86,695,3.37,142,0.69,-42.19,-0.20
2,2015-11-04,10.98,5.17,1369,10.69,186,1.46,1182,9.24,-110,-0.86,-1259,-9.84
3,2015-11-03,10.44,1.36,6.68,0.07,-22.41,-0.24,29.09,0.31,124,1.31,-131,-1.38
4,2015-11-02,10.30,-3.20,-101,-0.66,-304,-1.99,204,1.33,-181,-1.19,282,1.84
5,2015-10-30,10.64,-2.56,-849,-5.59,-203,-1.33,-647,-4.26,319,2.10,530,3.49
6,2015-10-29,10.92,0.65,-1071,-4.83,-554,-2.50,-517,-2.33,5.60,0.03,1066,4.80
7,2015-10-28,10.85,-2.43,77.82,0.25,-14.61,-0.05,92.43,0.29,-1068,-3.36,990,3.12
8,2015-10-27,11.12,2.96,-1936,-5.73,414,1.22,-2350,-6.95,29.08,0.09,1907,5.64
9,2015-10-26,10.80,5.57,451,1.33,442,1.30,9.35,0.03,-642,-1.89,191,0.56
10,2015-10-23,10.23,5.46,-821,-3.97,-106,-0.51,-715,-3.45,641,3.10,180,0.87
11,2015-10-22,9.70,3.30,-1559,-10.80,-556,-3.85,-1003,-6.95,1272,8.81,287,1.99
12,2015-10-21,9.39,-8.66,-1075,-4.30,-1242,-4.97,167,0.67,192,0.77,883,3.53
13,2015-10-20,10.28,0.78,-892,-5.44,-442,-2.69,-450,-2.74,486,2.96,406,2.47
14,2015-10-19,10.20,-0.39,-1244,-6.75,-37.38,-0.20,-1207,-6.55,716,3.89,528,2.87
15,2015-10-16,10.24,2.81,316,1.56,1008,4.99,-692,-3.42,171,0.85,-487,-2.41
16,2015-10-15,9.96,3.64,-233,-1.47,-121,-0.76,-112,-0.70,465,2.93,-233,-1.47
17,2015-10-14,9.61,-3.03,-1301,-7.55,-1283,-7.44,-17.94,-0.10,575,3.34,725,4.21
18,2015-10-13,9.91,2.91,837,4.81,656,3.77,182,1.04,-456,-2.62,-381,-2.19
19,2015-10-12,9.63,3.77,-440,-2.59,-44.49,-0.26,-395,-2.33,173,1.02,267,1.57
20,2015-10-09,9.28,4.27,1613,9.47,1141,6.70,472,2.77,-897,-5.26,-716,-4.20
21,2015-10-08,8.90,4.46,525,4.48,-462,-3.94,988,8.42,-86.60,-0.74,-439,-3.74
22,2015-09-30,8.52,1.55,489,6.81,270,3.76,219,3.05,-341,-4.76,-147,-2.05
23,2015-09-29,8.39,-1.76,-925,-15.16,-108,-1.77,-817,-13.39,617,10.12,308,5.04
24,2015-09-28,8.54,2.15,437,7.47,470,8.04,-32.95,-0.56,-72.07,-1.23,-365,-6.24
25,2015-09-25,8.36,-5.22,-1808,-16.99,-848,-7.97,-959,-9.02,740,6.95,1068,10.04
26,2015-09-24,8.82,4.26,746,7.57,249,2.53,497,5.05,-150,-1.52,-597,-6.05
27,2015-09-23,8.46,-3.97,-905,-8.89,-180,-1.77,-725,-7.12,415,4.08,490,4.81
28,2015-09-22,8.81,1.26,438,3.10,-157,-1.11,595,4.21,-159,-1.13,-279,-1.97
29,2015-09-21,8.70,3.69,367,3.59,76.13,0.75,291,2.85,-62.97,-0.62,-304,-2.98
