,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,7.87,2.34,-458,-1.40,-681,-2.08,223,0.68,709,2.16,-251,-0.77
1,2015-11-05,7.69,-1.16,-4317,-9.35,-1900,-4.11,-2418,-5.23,2305,4.99,2012,4.36
2,2015-11-04,7.78,5.28,4181,11.65,2287,6.37,1893,5.28,-1811,-5.05,-2369,-6.60
3,2015-11-03,7.39,1.65,975,5.76,389,2.29,587,3.46,-699,-4.13,-276,-1.63
4,2015-11-02,7.27,-2.81,-1061,-6.18,-1363,-7.93,301,1.76,176,1.02,885,5.16
5,2015-10-30,7.48,-2.73,-1724,-6.60,-422,-1.62,-1302,-4.99,312,1.19,1412,5.41
6,2015-10-29,7.69,5.20,2808,7.04,1662,4.16,1147,2.87,-292,-0.73,-2516,-6.30
7,2015-10-28,7.31,-0.41,-1015,-4.04,-58.13,-0.23,-957,-3.81,921,3.67,93.37,0.37
8,2015-10-27,7.34,-1.21,-1701,-7.07,-929,-3.86,-772,-3.21,406,1.69,1294,5.38
9,2015-10-26,7.43,0.41,-4253,-11.99,-5603,-15.79,1350,3.80,2364,6.66,1890,5.33
10,2015-10-23,7.40,3.50,1617,5.59,-195,-0.68,1812,6.27,83.13,0.29,-1700,-5.88
11,2015-10-22,7.15,4.53,-9.68,-0.04,233,1.07,-243,-1.11,82.76,0.38,-73.08,-0.33
12,2015-10-21,6.84,-9.88,-4944,-13.92,-2386,-6.72,-2558,-7.20,1568,4.41,3377,9.50
13,2015-10-20,7.59,5.71,323,0.83,1563,4.04,-1240,-3.20,-598,-1.54,275,0.71
14,2015-10-19,7.18,-0.97,-1481,-7.48,-455,-2.30,-1026,-5.18,1132,5.71,349,1.76
15,2015-10-16,7.25,0.55,-1309,-4.89,-1024,-3.82,-286,-1.07,448,1.67,861,3.22
16,2015-10-15,7.21,3.89,914,4.10,1245,5.59,-331,-1.49,-396,-1.78,-518,-2.32
17,2015-10-14,6.94,-2.12,-1102,-6.34,-510,-2.94,-592,-3.41,86.82,0.50,1015,5.84
18,2015-10-13,7.09,1.14,-380,-1.75,-258,-1.19,-122,-0.56,-35.59,-0.16,415,1.92
19,2015-10-12,7.01,5.89,1028,3.80,-193,-0.71,1222,4.51,-128,-0.47,-900,-3.32
20,2015-10-09,6.62,2.80,333,2.22,264,1.76,69.19,0.46,329,2.20,-662,-4.42
21,2015-10-08,6.44,4.21,533,4.50,388,3.28,145,1.22,155,1.31,-687,-5.81
22,2015-09-30,6.18,0.16,237,4.50,133,2.52,104,1.98,-402,-7.62,165,3.13
23,2015-09-29,6.17,-3.44,-958,-13.41,-293,-4.11,-664,-9.30,153,2.14,805,11.27
24,2015-09-28,6.39,2.24,171,2.47,-198,-2.87,369,5.34,-9.17,-0.13,-162,-2.34
25,2015-09-25,6.25,-3.99,-1077,-8.28,290,2.23,-1367,-10.50,62.83,0.48,1014,7.79
26,2015-09-24,6.51,1.72,-68.58,-0.64,340,3.16,-409,-3.80,109,1.01,-39.97,-0.37
27,2015-09-23,6.40,-4.19,-2081,-13.76,-137,-0.90,-1945,-12.86,806,5.33,1275,8.43
28,2015-09-22,6.68,4.54,605,2.56,528,2.24,77.19,0.33,-114,-0.48,-491,-2.08
29,2015-09-21,6.39,3.40,151,1.23,241,1.96,-90.25,-0.73,214,1.74,-365,-2.96
