,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,11.27,2.92,900,7.40,371,3.05,529,4.35,137,1.13,-1037,-8.53
1,2015-11-05,10.95,-0.73,-1392,-7.65,-236,-1.30,-1155,-6.35,138,0.76,1254,6.89
2,2015-11-04,11.03,4.06,1509,9.82,440,2.86,1069,6.96,-453,-2.95,-1056,-6.87
3,2015-11-03,10.60,4.43,1345,10.48,1047,8.16,298,2.32,-484,-3.77,-861,-6.70
4,2015-11-02,10.15,-0.68,-317,-3.99,66.73,0.84,-384,-4.83,-89.46,-1.13,406,5.12
5,2015-10-30,10.22,-1.64,-926,-10.27,-505,-5.61,-421,-4.67,286,3.17,640,7.10
6,2015-10-29,10.39,0.48,-999,-10.97,116,1.27,-1115,-12.25,463,5.09,536,5.89
7,2015-10-28,10.34,-4.26,-2439,-19.58,-744,-5.97,-1695,-13.60,849,6.82,1590,12.76
8,2015-10-27,10.80,0.19,-671,-4.97,-504,-3.74,-166,-1.23,257,1.90,414,3.07
9,2015-10-26,10.78,-0.19,-1720,-8.66,-662,-3.34,-1058,-5.33,201,1.01,1520,7.65
10,2015-10-23,10.80,5.47,135,0.63,-165,-0.77,300,1.39,95.77,0.44,-230,-1.07
11,2015-10-22,10.24,1.39,-3794,-15.60,-844,-3.47,-2950,-12.13,1994,8.19,1801,7.40
12,2015-10-21,10.10,0.60,117,0.41,2088,7.23,-1971,-6.82,229,0.79,-346,-1.20
13,2015-10-20,10.04,1.93,95.92,1.28,-48.38,-0.64,144,1.92,451,6.01,-547,-7.28
14,2015-10-19,9.85,-1.60,-1092,-10.42,-232,-2.21,-860,-8.21,-152,-1.45,1244,11.87
15,2015-10-16,10.01,2.56,316,2.80,-6.79,-0.06,323,2.86,-251,-2.22,-64.85,-0.57
16,2015-10-15,9.76,3.28,629,7.71,348,4.26,281,3.44,-207,-2.54,-421,-5.17
17,2015-10-14,9.45,-1.97,-139,-2.02,-222,-3.22,82.87,1.21,-322,-4.69,461,6.70
18,2015-10-13,9.64,0.10,126,2.02,-5790,-0.01,127,2.03,168,2.69,-295,-4.71
19,2015-10-12,9.63,3.44,204,1.86,-120,-1.10,324,2.96,-60.97,-0.56,-143,-1.31
20,2015-10-09,9.31,3.33,-55.15,-0.61,-42.52,-0.47,-12.63,-0.14,-128,-1.41,183,2.01
21,2015-10-08,9.01,3.68,-278,-4.35,-180,-2.82,-97.77,-1.53,210,3.28,68.02,1.06
22,2015-09-30,8.69,0.81,486,13.08,0,0,486,13.08,-296,-7.98,-189,-5.10
23,2015-09-29,8.62,0.47,151,3.85,-10.14,-0.26,162,4.11,-78.76,-2.00,-72.64,-1.85
24,2015-09-28,8.58,1.54,-233,-6.29,-319,-8.62,86.09,2.33,24.65,0.67,208,5.63
25,2015-09-25,8.45,-4.30,-186,-4.19,0,0,-186,-4.19,-191,-4.30,378,8.49
26,2015-09-24,8.83,2.79,42.99,0.94,0,0,42.99,0.94,64.67,1.42,-108,-2.36
27,2015-09-23,8.59,-4.56,-1083,-15.57,-265,-3.80,-818,-11.76,133,1.91,950,13.66
28,2015-09-22,9.00,5.88,1278,11.34,281,2.49,998,8.85,-689,-6.11,-590,-5.23
29,2015-09-21,8.50,3.66,85.85,1.38,42.04,0.68,43.82,0.71,299,4.81,-384,-6.19
